,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average 2 ratio during night,Audio daily average 2 ratio,Bluetooth class,Daily average stationary ratio during night,Phonelock duration during night,Daily average 2 ratio during day,Daily average unknown activity ratio during night,Total counts of bluetooth mac address,Average accuracy,Phonecharge duration during evening,Medium strength of wifi level,Light duration during evening,Daily average walking ratio,Audio daily average 0 ratio,Daily average 0 ratio during day,Average duration of each long-time conversation(>10 mins),Average speed,Average duration of each conversation during night,Phonelock duration during evening,Phonecharge duration during afternoon,Light duration during morning,Average bearing,Wifi times of gps_network_type,High strength of wifi level,Phonecharge duration during night,Light duration during night,Gps times of gps provider,High strength of bluetooth level,Daily average walking ratio during day,Daily average running ratio during night,Low strength of bluetooth level,Phonecharge duration during morning,Daily average running ratio during day,Low strength of wifi level,Network times of gps provider,Medium strength of bluetooth level,Phonelock duration during afternoon,Total counts of wifi-bssid address,Daily average stationary ratio,Daily average 0 ratio during night,Daily average conversation duration,Daily average unknown activity ratio during day,Daily average running ratio,Daily average walking ratio during night,Cell  times of gps_network_type,Audio 1 times count,Daily frequency of conversation during day,Daily frequency of long-time conversation(>10 mins),Daily frequency of conversation during night,Daily average 0 count during night,Daily average 1 ratio during day,Daily average 1 ratio during night,Daily average conversation duration during night,Daily frequency of conversation,Audio daily average 2 times,Audio 2 times count,Daily average conversation duration during day,Daily average 2 times during day,Daily average long-time conversation duration(>10 mins),Daily average 1 times during night,Daily average 1 times during day,Daily average 0 count during day,Audio daily average 1 ratio,Audio daily average 0 count,Audio daily average 1 times,FlourishingScale
u12,25302.2,0.1609,78,556.3448502796973,505.00191536987916,0.2384135321492912,0.2433218718597996,152.295,0.91989582758811,0.1252,0.24514628083296625,0.026816347028188067,11.358,181.58,0.0202,18.057,0.0358,0.038458131860939535,0.5190132966937624,0.5341040681863697,1564.9767060367456,0.14,651.3008306539683,0.0603,0.184,0.1563,4.17,5812.0,61.423,0.0195,0.1338,396.0,73.541,0.03691731787275252,0.012554685747413832,7.939,0.0993,0.008961392395200841,20.52,6151.0,18.52,0.2025,62.053,0.924936708711796,0.5052621847962759,100939.223880597,0.025711594139168088,0.01042011571648314,0.04073313963628821,339.0,2906730.0,96.34328358208955,45.49253731343283,85.08955223880595,38598.10447761194,0.22074965098066412,0.25632428305443306,55076.97014925373,181.43283582089558,44024.71641791045,2949656.0,45862.253731343284,25314.716417910447,71194.76119402985,20420.417910447763,22963.611940298506,53945.82089552238,0.23766483144643802,92543.92537313432,43384.02985074627,1.0
u13,41297.455,0.0653,79,527.8815637065637,483.2374919160785,0.22582288276471466,0.2287520282344976,3587.042,0.9201629409523512,0.0868,0.2296505161082077,0.02691337610858767,319.44,95.9,0.0167,24.374,0.0078,0.0380651074137764,0.5350229594974601,0.5455567657615639,1520.2778229082046,0.08,628.1610941755055,0.0225,0.0278,0.0329,4.86,5857.0,51.975,0.0581,0.0372,596.0,68.707,0.03646679721832827,0.01249663549458715,13.027,0.0466,0.008887329095580897,23.651,6006.0,18.266,0.1703,182.256,0.9253436379476886,0.5263342382306709,81624.67164179105,0.025745415563425102,0.010351158582529229,0.04042704744447412,151.0,3749015.0,85.51515151515152,36.74626865671642,70.38805970149255,51179.28358208955,0.2247927181302284,0.24784287900461435,43090.925373134334,154.62686567164178,53013.46268656717,3551902.0,39117.59090909091,30643.940298507467,55864.53731343283,25204.68656716418,30750.76119402985,72806.07462686568,0.2362250122680423,123985.35820895525,55955.44776119403,0.0
u14,14767.619,0.1145,83,648.2303226070245,586.1489291544318,0.24385369971078955,0.23357472928002376,944.209,0.9182027598218264,0.1095,0.2245253817340341,0.02654112838022234,49.756,39.84,0.002,17.754,0.0106,0.03926892029139043,0.4989652817672818,0.5265907976902617,1687.31196400956,0.01,724.1918478800916,0.0248,0.1192,0.0946,1.15,3694.0,60.897,0.0372,0.0569,111.0,45.652,0.037198969710599016,0.01298479339663617,34.526,0.029,0.00908070639566742,21.348000000000006,3694.0,19.822,0.1746,44.474,0.9247890901837368,0.4687230496150628,236623.4179104477,0.02434810673625411,0.010675139442726385,0.04227131840131534,0.0,7607518.0,197.64179104477608,106.1641791044776,167.38805970149255,85064.14925373135,0.2488838205757041,0.2874232506741476,120761.82089552238,365.02985074626883,97135.94029850746,6508108.0,115861.59701492536,53098.13432835821,179132.08955223882,53480.91044776119,60064.13432835821,124510.61194029848,0.2674599889526945,209574.76119402985,113545.0447761194,1.0
u15,9134.1,0.0292,77,598.5955818022748,536.8222360457708,0.2432086669424353,0.23189157293065826,150.361,0.9149922644552622,0.0684,0.22224299387163649,0.02704474392794678,9.666,35.85,0.0038,16.641,0.0126,0.040095077324380016,0.4986064507097821,0.5277264197664974,1628.227724781815,0.14,681.496641336327,0.0117,0.0059,0.0189,6.05,1700.0,64.786,0.0178,0.0448,88.0,59.67100000000001,0.03724005498502368,0.01375498864201162,10.715,0.0287,0.00928077207078405,18.573,1698.0,29.614,0.0444,29.117,0.923242873645248,0.4665348787349344,163389.79104477612,0.02444646187647428,0.011126307815743102,0.04420800297477917,0.0,8020218.0,144.7761194029851,73.5373134328358,128.17910447761193,88719.79104477614,0.25003058636186604,0.2902564543226303,86971.34328358209,272.95522388059703,100767.10447761194,6751396.0,76418.44776119402,54699.13432835821,119735.49253731346,56730.79104477613,62973.9552238806,130233.35820895525,0.2695019763595597,218953.14925373133,119704.74626865672,1.0
u16,8722.955,0.1127,86,589.2235386017446,541.2990721806945,0.2222606174953029,0.2113643405125752,376.812,0.9164892364384848,0.1576,0.2026017363736647,0.026635788674178883,23.972,32.26,0.013,16.483,0.0223,0.039086794697582514,0.5193484790392979,0.5406665620115033,1627.756622926467,0.02,671.3652746336884,0.0364,0.0703,0.0991,1.63,5795.0,76.741,0.059,0.0915,95.0,50.299,0.035836862184767566,0.01312755511054372,22.599,0.0431,0.008736901942254167,6.776,5795.0,27.102,0.1388,39.188,0.9253307165622436,0.494762159583731,135099.28358208956,0.02386852319122897,0.010548683315002857,0.04374741977679263,0.0,10925056.0,124.59701492537312,60.28358208955224,104.68656716417914,125685.223880597,0.2567317016148322,0.28297722292096583,69427.10447761194,229.28358208955228,125321.28358208956,8396526.0,65672.17910447763,68986.02985074627,98127.0,73796.64179104478,89263.89552238806,183748.67164179106,0.26928718044812683,309433.89552238805,163060.53731343284,0.0
u17,15728.25,0.1015,74,592.2906671440505,538.1332442871652,0.2348624962171103,0.2251005540044664,246.439,0.9161487999943893,0.1826,0.2169910851108044,0.0269736511376127,15.425999999999998,36.79,0.018000000000000002,32.01,0.0406,0.03907215922227613,0.5007104866027378,0.5252865101297769,1629.636466080685,0.01,672.7778913209997,0.0656,0.0821,0.0975,0.91,6346.0,44.659,0.04,0.1856,54.0,69.418,0.03590972471643298,0.013276412562493107,8.888,0.0455,0.008886019523582506,23.332,6346.0,21.694000000000006,0.1695,74.807,0.9249598330067516,0.4731874550844149,148143.38805970148,0.02403610518965017,0.010698111998686291,0.043601136305504856,0.0,9501554.0,133.58208955223878,66.22388059701493,116.53731343283579,103505.98507462683,0.2577224047594188,0.29195004869847496,77825.44776119402,250.11940298507463,113728.37313432836,7619801.0,70317.94029850746,62425.208955223876,107920.85074626864,65820.89552238806,75993.34328358209,150783.58208955225,0.2741889593927958,254289.5671641791,141814.23880597015,0.0
u18,12406.048,0.0756,69,602.2296169890028,558.0988193895797,0.21703108230447232,0.20956584285962834,752.5,0.9179687335241379,0.1124,0.2036149507517723,0.02644464339767997,49.525,48.61,0.0054,20.07,0.0055,0.041321646204090096,0.5142848499425465,0.5270868833104204,1671.239678005713,0.08,655.7300616729261,0.0453,0.0603,0.0644,4.0,3412.0,68.419,0.0474,0.0916,287.0,69.14,0.04097492658297722,0.013585175255540536,6.872999999999998,0.0433,0.009765083327983629,11.511,3412.0,23.987,0.1174,47.672,0.920837405228096,0.5001225153587046,521458.9402985074,0.026565583851372244,0.011319071058337543,0.04200144782264128,0.0,14797923.0,490.53731343283584,229.91044776119404,375.3432835820896,164051.7014925373,0.26929816593780764,0.2828464023368231,247076.0149253732,865.8805970149252,163666.37313432837,10965647.0,274382.9253731343,92628.88059701493,384235.46268656716,95667.62686567164,125196.89552238805,237413.94029850746,0.2761493071978252,401465.6417910448,220864.52238805967,0.0
u19,18625.0,0.0608,64,599.7019293225427,556.5789723958078,0.21277329954311325,0.2058416112118199,478.366,0.9189703220229406,0.1085,0.20028018171303888,0.02601977498976455,26.291,31.29,0.0179,20.29,0.0196,0.040940478536034136,0.5186285629840867,0.5315183938041099,1670.0285752259435,0.06,652.4699348970134,0.0466,0.012,0.0492,4.03,4451.0,65.078,0.0591,0.0908,147.0,58.456,0.04007829115564498,0.012708496152977576,16.642,0.0649,0.009175337170794095,14.632,4446.0,24.902,0.2831,67.311,0.9223612513487732,0.5043223231618087,509863.0,0.026098945504773426,0.010614823149390565,0.042301406834317434,0.0,15424685.0,480.8955223880597,224.59701492537314,369.2985074626866,172641.68656716414,0.2682014244828512,0.2829043772950781,241740.1343283582,850.1940298507463,168025.73134328358,11257724.0,268122.8656716418,95052.62686567164,375083.43283582095,100195.0895522388,130024.0895522388,249227.8656716418,0.2755298258040935,421869.55223880603,230219.1791044776,0.0
u20,11013.55,0.0671,63,610.5626667728702,568.72147370737,0.2051162551603907,0.19829164823807452,231.829,0.9203538087132608,0.0766,0.1929875294645856,0.02618564180706808,20.134,26.51,0.0091,25.238000000000003,0.006,0.03987191390833216,0.5226205095229804,0.5325765449273587,1674.333546451581,0.02,657.9642451539928,0.0137,0.0258,0.0429,2.4,2560.0,58.4,0.0186,0.0788,273.0,86.24600000000002,0.03879543874099289,0.0119955595029083,2.835,0.034,0.008647783389245945,16.362000000000002,2560.0,10.919,0.0805,60.832,0.9241042368681162,0.5114201674570186,686445.5820895522,0.025874318823401663,0.010015159921225435,0.0414649899767631,0.0,18861396.0,642.9253731343282,303.4776119402985,481.35820895522386,209266.4328358209,0.2744359256080557,0.2834635773825905,318590.9701492537,1124.2835820895523,194801.0,13051667.0,367854.6119402985,110744.19402985074,508122.7462686568,120097.74626865672,161415.62686567163,302541.44776119397,0.2790878422389449,511807.8805970149,281513.37313432834,0.0
u22,20380.1,0.1049,75,613.6974325549762,571.6967736793893,0.2024810673178296,0.1970234141261632,159.933,0.920273706903172,0.1226,0.1928155488881157,0.026671047255875702,9.28,32.44,0.0014,27.161,0.0175,0.03968544878744743,0.5267389783981345,0.5333250023215993,1686.3009713835654,0.03,662.0021465625098,0.006999999999999999,0.0481,0.1118,2.04,3527.0,50.309,0.0478,0.114,202.0,70.55,0.038873828361835186,0.012151108615479337,7.7120000000000015,0.0379,0.008907585894774963,22.529,3516.0,21.738000000000003,0.1992,73.34899999999998,0.9236249522258376,0.5200391758065747,646452.3880597015,0.0262796753122632,0.01022577942333686,0.0409041372254728,0.0,20445969.0,597.9104477611942,284.2537313432836,455.46268656716416,231183.0149253732,0.2738594487902848,0.2774797568755957,303147.14925373136,1053.3731343283582,212007.76119402985,14204520.0,343305.2388059702,121908.46268656715,479337.34328358213,127670.10447761195,177493.61194029852,334277.89552238805,0.2762376074757025,565460.9104477612,305163.71641791053,1.0
u23,6278.2,0.2083,60,619.6928189717703,575.9723048790737,0.20240410460608213,0.19627230678785013,327.37,0.9206464100476726,0.07200000000000001,0.1915784053881809,0.026477444419378843,34.663000000000004,26.41,0.0975,23.578000000000007,0.0659,0.038805814549256835,0.5291811666261129,0.536999058163709,1692.5314518317505,0.13,669.5279893005768,0.0513,0.0307,0.1997,16.18,2076.0,55.993,0.1492,0.1415,812.0,79.443,0.037640525066859,0.012320052561795072,6.539,0.027000000000000003,0.009074738802293794,20.429,2076.0,14.017,0.0526,46.471,0.924703467487972,0.5206544311339939,624807.5970149253,0.02580821562463221,0.010391287661744016,0.04055609297115316,0.0,20802064.0,571.7313432835822,275.0,436.5223880597016,237992.9552238806,0.27142253644811004,0.27694146425992383,294061.65671641787,1008.2537313432837,216262.98507462686,14489620.0,330745.94029850746,123742.14925373135,465446.1492537314,130794.50746268654,179684.05970149254,344203.28358208947,0.2745465265860369,582196.2388059702,310478.5671641791,0.0
u24,6052.75,0.0637,66,604.5837425078731,560.4006640375935,0.2145997743258989,0.2083617147412124,244.276,0.9163200583602574,0.0562,0.20324313490280813,0.026964397631278333,21.864,45.33,0.0248,15.635,0.0103,0.04229474472785715,0.5182456993802333,0.5308010993910961,1675.7449459631275,0.03,656.488718626066,0.0241,0.0388,0.0567,1.3,2121.0,65.578,0.006,0.0339,26.0,72.685,0.04225936222383778,0.014173212254301275,7.256,0.0281,0.010334507189102593,18.787,2125.0,20.059,0.0975,29.404,0.9185672670333148,0.5046499370111533,532954.1044776121,0.02743959313382724,0.011891072034008745,0.04254233175416277,4.0,13329261.0,500.8955223880597,234.77611940298507,380.6268656716418,150786.80597014926,0.26595576570609564,0.2807502886629478,251227.89552238805,881.5223880597015,148001.07462686568,9916072.0,281726.2089552239,83944.44776119402,393424.8955223881,86459.58208955223,112484.61194029848,217942.73134328358,0.2733925858785541,368729.53731343284,198944.19402985074,0.0
u27,4968.25,0.0563,56,622.6083366043662,578.8732406434376,0.21632600614099184,0.208315237849106,353.545,0.9172574887857124,0.0697,0.20181772724649708,0.02628917159358771,14.639,28.32,0.0008,24.155,0.0096,0.03974266511237251,0.5222941506510491,0.5388220053417861,1697.1215731700588,0.01,673.49749229308,0.0283,0.0678,0.1238,0.62,4410.0,66.085,0.0412,0.0839,32.0,62.74100000000001,0.03895877078472376,0.015354104970939631,15.18,0.0546,0.011080318330631058,9.76,4410.0,22.079,0.1259,30.285,0.9207630887928824,0.5037234240489553,615527.328358209,0.026972763289537603,0.012812295820608914,0.04109923464976024,0.0,12051609.0,562.5970149253732,270.5820895522388,426.02985074626883,139648.1343283582,0.2593602674117169,0.2799505698100529,288698.37313432834,988.6268656716417,136177.5671641791,9123897.0,326828.9552238806,76266.94029850746,459210.7014925373,79833.02985074627,100041.73134328358,203230.4328358209,0.2693906114998447,342878.5671641791,179874.76119402985,0.0
u30,44151.05,0.1146,74,615.365446549723,570.5879329917346,0.21953093974890486,0.21274953789103834,1234.772,0.9151996884827536,0.1561,0.20724432070476176,0.027639496547253287,48.24,45.7,0.005,20.145,0.0176,0.04235213277969064,0.5104170203330971,0.5227938595737764,1683.2976254884281,0.06,667.4253488034416,0.0528,0.1834,0.0862,1.66,3795.0,69.042,0.0083,0.1274,52.0,67.155,0.04200340077475096,0.014091028432175346,9.816,0.0186,0.010302656069595876,10.813,3795.0,23.029,0.2236,32.454,0.9180147986387172,0.4969511036710981,561810.2835820896,0.027894718925524743,0.01183871066675925,0.04306978653781772,0.0,14309295.0,518.1641791044776,248.28358208955228,394.8059701492537,157224.89552238805,0.26996181972146194,0.283517956579997,265038.74626865675,912.9701492537314,160391.6567164179,10746241.0,296771.53731343284,91000.05970149254,417935.16417910455,92422.26865671642,121149.29850746268,227204.5820895523,0.2768334417758648,384429.4776119403,213571.5671641791,1.0
u31,14463.174,0.0506,56,593.5345483418272,553.4049989135897,0.21132650501136704,0.20390773970096607,330.6,0.9181682499147142,0.0602,0.19799963013876776,0.02716088147948711,34.54,79.11,0.0367,17.14,0.0727,0.04094991378500969,0.5196872344838838,0.5325301956536121,1656.9640495286335,0.31,645.5905381521168,0.0606,0.0561,0.0745,5.87,3896.0,56.753,0.0445,0.0701,254.0,61.499,0.040169941292544836,0.01251293930743512,16.023,0.0495,0.009145528986770237,26.107,3949.0,22.479,0.1089,43.822,0.9213647361906466,0.505361846630786,479753.0895522388,0.027124667333586483,0.010519817696705736,0.04215792929836372,53.0,16157435.0,457.41791044776113,212.1492537313433,350.8805970149254,180410.0447761194,0.2694701742076201,0.2833116483578471,226538.38805970148,808.2985074626863,173638.23880597015,11633762.0,253214.7014925373,98065.5223880597,351523.6865671642,104723.97014925373,136431.77611940302,260810.53731343284,0.2764050258151501,441220.58208955225,241155.74626865672,0.0
