,Low strength of wifi level,Light duration during afternoon,Frequency of wifi,Light duration during evening,Phonelock duration during afternoon,High strength of wifi level,Wifi times of gps_network_type,Network times of gps provider,Phonecharge duration during morning,Phonelock duration during evening,Bluetooth class,Phonecharge duration during afternoon,Phonelock duration during night,Medium strength of bluetooth level,The frequency of changing building,High strength of bluetooth level,Medium strength of wifi level,Average duration of each conversation during night,Phonelock duration during morning,Daily average 1 ratio during night,Audio daily average 0 ratio,Total counts of bluetooth mac address,Daily average 2 ratio during night,Average bearing,Total counts of wifi-bssid address,Low strength of bluetooth level,Audio daily average 1 ratio,Daily average 0 ratio during day,Daily average unknown activity ratio during night,Daily average 0 ratio during night,Positive
u45,17.404,0.0813,24780.05,0.0113,0.1023,68.796,1868.0,1868.0,0.0494,0.0728,183.424,0.0098,0.07,23.344,72,58.38399999999999,13.8,676.4668267038992,0.0767,0.27629471161393515,0.5353911417482903,18.682000000000002,0.19801138565117146,14.65,60.876999999999995,18.272000000000002,0.2731729871633009,0.5440353809679453,0.02730845994096177,0.5256939027348935,0.0
u46,18.465999999999998,0.1761,17613.476000000002,0.037000000000000005,0.1505,56.183,3685.0,3726.0,0.0231,0.0482,718.1139999999999,0.1444,0.0347,34.051,85,52.882,25.351,679.2735596115504,0.0316,0.2681308458130256,0.5408716336893493,31.315,0.19274559186220386,1.86,41.434,13.068,0.2700411944812332,0.5439525009378852,0.02340412494611455,0.5391235623247705,1.0
u47,9.113,0.0466,7145.632,0.0046,0.0683,73.525,3203.0,3348.0,0.0607,0.0089,331.82099999999997,0.0309,0.047,27.316999999999997,68,59.143,17.362000000000002,674.6929029180402,0.0447,0.2724434146222351,0.5392954427651212,31.928,0.19734836333454767,3.1,29.553,13.54,0.2700083173699795,0.5474662138249939,0.022831356615628517,0.5302082220432173,1.0
u49,17.891,0.0209,22965.107000000004,0.0323,0.1076,59.618,3359.0,3402.0,0.0974,0.0799,3839.792,0.0647,0.1161,18.194000000000003,83,46.995,22.491,689.5964931999747,0.0923,0.22422297725085366,0.5119395311196673,156.593,0.25722000750868546,6.1,62.857,34.811,0.2201028839109755,0.5105963886074878,0.029122130050765107,0.5185570152404612,1.0
u50,22.184,0.0904,18210.25,0.0077,0.0488,49.43600000000001,2739.0,2743.0,0.035,0.0072,902.4,0.0034,0.0694,17.472,51,66.046,28.38,667.8537892141446,0.078,0.27591573669565284,0.532083868363613,118.21799999999999,0.20070231129527372,3.18,140.565,16.482,0.2735637243413076,0.5400696045348929,0.01886787819569476,0.5233819520090736,0.0
u51,23.596999999999998,0.1292,18445.087,0.0103,0.2616,53.461999999999996,5882.0,6218.0,0.004,0.0288,758.449,0.2014,0.2268,24.011999999999997,79,52.413999999999994,22.94,670.1115157025804,0.1535,0.2743499919235031,0.5378633880293838,89.76799999999999,0.19744092734209626,2.68,59.168,23.574,0.2714699774743364,0.5464560887672065,0.022586527124604846,0.5282090807344005,0.0
u52,12.37,0.1538,151418.545,0.0137,0.1951,71.605,4391.0,4481.0,0.0299,0.0607,491.721,0.0905,0.1095,12.254000000000001,51,80.893,16.025,682.6613330100413,0.1443,0.2686459722277679,0.5443778251561283,26.596,0.19302366248858366,7.89,889.2710000000001,6.853,0.2687219922553176,0.5505441899119313,0.026162833104304364,0.5383303652836485,1.0
u53,15.285,0.0859,35303.8,0.0126,0.1754,62.763999999999996,3653.0,3653.0,0.0246,0.0428,302.949,0.0673,0.1662,19.272000000000002,75,74.795,21.951,674.7560525233002,0.11800000000000001,0.27242192567125834,0.5408159915707493,37.626999999999995,0.19490826777356146,3.23,149.719,5.933,0.2704810023875365,0.5483748722808004,0.023403309944224952,0.5326698065551801,1.0
u56,16.445999999999998,0.0471,13101.2,0.0201,0.0997,68.007,3313.0,3511.0,0.0044,0.0231,132.94299999999998,0.0735,0.1188,25.316999999999997,70,71.911,15.547,650.3652063604159,0.0724,0.26577735260860913,0.5430753689305754,15.667,0.19171373378736775,1.73,42.058,2.772,0.2685177728753734,0.5453346602887333,0.02586802338075716,0.5425089136040231,0.0
u57,12.677999999999999,0.2501,28505.286,0.0148,0.2473,68.805,4749.0,4867.0,0.0459,0.0517,1370.6960000000001,0.2077,0.0879,10.690999999999999,80,86.272,18.518,658.3369127072043,0.0513,0.2648663270651779,0.5392606664163683,81.992,0.19412976759720613,11.0,139.805,3.037,0.2693982876002728,0.5398414133549327,0.02858914707643047,0.5410039053376159,1.0
u58,22.035,0.1114,19030.5,0.0269,0.2216,55.887,5710.0,5748.0,0.0156,0.0325,95.289,0.1618,0.1552,23.834,68,68.983,22.076999999999998,724.7272955356121,0.1438,0.2086473988022615,0.4822238293451746,12.392999999999999,0.2863610701713312,3.3,58.736000000000004,7.183,0.21754117836912906,0.4698224308753505,0.02952967820312889,0.5049915310264073,0.0
u59,13.905,0.1677,27778.15,0.0273,0.1485,68.97,5436.0,5713.0,0.0831,0.0252,205.86700000000002,0.1711,0.0565,0.6579999999999999,75,97.93799999999999,17.125,694.5068983952748,0.0321,0.18267824001369268,0.455781330994094,13.994000000000002,0.3521733227698248,3.02,84.677,1.403,0.17730478372595734,0.4473922658944859,0.029703361052309318,0.4651484372164825,1.0
