,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Phonecharge duration during night,Phonelock duration during afternoon,Phonelock duration during night,Phonelock duration during evening,Average duration of each conversation during night,Low strength of wifi level,Total counts of wifi-bssid address,Medium strength of wifi level,Light duration during evening,Daily average 0 ratio during night,Average duration of each conversation,Phonecharge duration during afternoon,Light duration during night,Light duration during afternoon,Frequency of wifi,High strength of bluetooth level,Phonecharge duration during evening,Daily average 1 ratio during day,Phonelock duration during morning,Average duration of each long-time conversation(>10 mins),Daily average 0 ratio during day,Bluetooth class,Daily average 2 ratio during night,Audio daily average 0 ratio,The frequency of changing building,High strength of wifi level,Average duration of each conversation during day,Total counts of bluetooth mac address,Average accuracy,Daily average conversation duration,Daily average running ratio,Daily average 2 ratio during day,Light duration during morning,Daily frequency of conversation during day,Daily average running ratio during day,Negative
u13,18.266,0.0466,596.0,0.08,4.86,0.0581,0.1703,0.0868,0.0225,628.1610941755055,23.651,182.256,24.374,0.0078,0.5263342382306709,527.8815637065637,0.0278,0.0372,0.2095,41297.455,68.707,0.0167,0.2247927181302284,0.0653,1520.2778229082046,0.5455567657615639,3587.042,0.22582288276471466,0.5350229594974601,79,51.975,483.2374919160785,319.44,95.9,81624.67164179105,0.010351158582529229,0.2296505161082077,0.0329,85.51515151515152,0.008887329095580897,1.0
u14,19.822,0.029,111.0,0.01,1.15,0.0372,0.1746,0.1095,0.0248,724.1918478800916,21.348000000000006,44.474,17.754,0.0106,0.4687230496150628,648.2303226070245,0.1192,0.0569,0.1857,14767.619,45.652,0.002,0.2488838205757041,0.1145,1687.31196400956,0.5265907976902617,944.209,0.24385369971078955,0.4989652817672818,83,60.897,586.1489291544318,49.756,39.84,236623.4179104477,0.010675139442726385,0.2245253817340341,0.0946,197.64179104477608,0.00908070639566742,1.0
u15,29.614,0.0287,88.0,0.14,6.05,0.0178,0.0444,0.0684,0.0117,681.496641336327,18.573,29.117,16.641,0.0126,0.4665348787349344,598.5955818022748,0.0059,0.0448,0.0451,9134.1,59.67100000000001,0.0038,0.25003058636186604,0.0292,1628.227724781815,0.5277264197664974,150.361,0.2432086669424353,0.4986064507097821,77,64.786,536.8222360457708,9.666,35.85,163389.79104477612,0.011126307815743102,0.22224299387163649,0.0189,144.7761194029851,0.00928077207078405,1.0
u16,27.102,0.0431,95.0,0.02,1.63,0.059,0.1388,0.1576,0.0364,671.3652746336884,6.776,39.188,16.483,0.0223,0.494762159583731,589.2235386017446,0.0703,0.0915,0.0846,8722.955,50.299,0.013,0.2567317016148322,0.1127,1627.756622926467,0.5406665620115033,376.812,0.2222606174953029,0.5193484790392979,86,76.741,541.2990721806945,23.972,32.26,135099.28358208956,0.010548683315002857,0.2026017363736647,0.0991,124.59701492537312,0.008736901942254167,1.0
u17,21.694000000000006,0.0455,54.0,0.01,0.91,0.04,0.1695,0.1826,0.0656,672.7778913209997,23.332,74.807,32.01,0.0406,0.4731874550844149,592.2906671440505,0.0821,0.1856,0.1583,15728.25,69.418,0.018000000000000002,0.2577224047594188,0.1015,1629.636466080685,0.5252865101297769,246.439,0.2348624962171103,0.5007104866027378,74,44.659,538.1332442871652,15.425999999999998,36.79,148143.38805970148,0.010698111998686291,0.2169910851108044,0.0975,133.58208955223878,0.008886019523582506,1.0
u18,23.987,0.0433,287.0,0.08,4.0,0.0474,0.1174,0.1124,0.0453,655.7300616729261,11.511,47.672,20.07,0.0055,0.5001225153587046,602.2296169890028,0.0603,0.0916,0.0937,12406.048,69.14,0.0054,0.26929816593780764,0.0756,1671.239678005713,0.5270868833104204,752.5,0.21703108230447232,0.5142848499425465,69,68.419,558.0988193895797,49.525,48.61,521458.9402985074,0.011319071058337543,0.2036149507517723,0.0644,490.53731343283584,0.009765083327983629,1.0
u19,24.902,0.0649,147.0,0.06,4.03,0.0591,0.2831,0.1085,0.0466,652.4699348970134,14.632,67.311,20.29,0.0196,0.5043223231618087,599.7019293225427,0.012,0.0908,0.2656,18625.0,58.456,0.0179,0.2682014244828512,0.0608,1670.0285752259435,0.5315183938041099,478.366,0.21277329954311325,0.5186285629840867,64,65.078,556.5789723958078,26.291,31.29,509863.0,0.010614823149390565,0.20028018171303888,0.0492,480.8955223880597,0.009175337170794095,0.0
u20,10.919,0.034,273.0,0.02,2.4,0.0186,0.0805,0.0766,0.0137,657.9642451539928,16.362000000000002,60.832,25.238000000000003,0.006,0.5114201674570186,610.5626667728702,0.0258,0.0788,0.0682,11013.55,86.24600000000002,0.0091,0.2744359256080557,0.0671,1674.333546451581,0.5325765449273587,231.829,0.2051162551603907,0.5226205095229804,63,58.4,568.72147370737,20.134,26.51,686445.5820895522,0.010015159921225435,0.1929875294645856,0.0429,642.9253731343282,0.008647783389245945,0.0
u22,21.738000000000003,0.0379,202.0,0.03,2.04,0.0478,0.1992,0.1226,0.006999999999999999,662.0021465625098,22.529,73.34899999999998,27.161,0.0175,0.5200391758065747,613.6974325549762,0.0481,0.114,0.1546,20380.1,70.55,0.0014,0.2738594487902848,0.1049,1686.3009713835654,0.5333250023215993,159.933,0.2024810673178296,0.5267389783981345,75,50.309,571.6967736793893,9.28,32.44,646452.3880597015,0.01022577942333686,0.1928155488881157,0.1118,597.9104477611942,0.008907585894774963,0.0
u23,14.017,0.027000000000000003,812.0,0.13,16.18,0.1492,0.0526,0.07200000000000001,0.0513,669.5279893005768,20.429,46.471,23.578000000000007,0.0659,0.5206544311339939,619.6928189717703,0.0307,0.1415,0.0421,6278.2,79.443,0.0975,0.27142253644811004,0.2083,1692.5314518317505,0.536999058163709,327.37,0.20240410460608213,0.5291811666261129,60,55.993,575.9723048790737,34.663000000000004,26.41,624807.5970149253,0.010391287661744016,0.1915784053881809,0.1997,571.7313432835822,0.009074738802293794,1.0
u24,20.059,0.0281,26.0,0.03,1.3,0.006,0.0975,0.0562,0.0241,656.488718626066,18.787,29.404,15.635,0.0103,0.5046499370111533,604.5837425078731,0.0388,0.0339,0.0429,6052.75,72.685,0.0248,0.26595576570609564,0.0637,1675.7449459631275,0.5308010993910961,244.276,0.2145997743258989,0.5182456993802333,66,65.578,560.4006640375935,21.864,45.33,532954.1044776121,0.011891072034008745,0.20324313490280813,0.0567,500.8955223880597,0.010334507189102593,0.0
u27,22.079,0.0546,32.0,0.01,0.62,0.0412,0.1259,0.0697,0.0283,673.49749229308,9.76,30.285,24.155,0.0096,0.5037234240489553,622.6083366043662,0.0678,0.0839,0.122,4968.25,62.74100000000001,0.0008,0.2593602674117169,0.0563,1697.1215731700588,0.5388220053417861,353.545,0.21632600614099184,0.5222941506510491,56,66.085,578.8732406434376,14.639,28.32,615527.328358209,0.012812295820608914,0.20181772724649708,0.1238,562.5970149253732,0.011080318330631058,1.0
u30,23.029,0.0186,52.0,0.06,1.66,0.0083,0.2236,0.1561,0.0528,667.4253488034416,10.813,32.454,20.145,0.0176,0.4969511036710981,615.365446549723,0.1834,0.1274,0.1777,44151.05,67.155,0.005,0.26996181972146194,0.1146,1683.2976254884281,0.5227938595737764,1234.772,0.21953093974890486,0.5104170203330971,74,69.042,570.5879329917346,48.24,45.7,561810.2835820896,0.01183871066675925,0.20724432070476176,0.0862,518.1641791044776,0.010302656069595876,1.0
u31,22.479,0.0495,254.0,0.31,5.87,0.0445,0.1089,0.0602,0.0606,645.5905381521168,26.107,43.822,17.14,0.0727,0.505361846630786,593.5345483418272,0.0561,0.0701,0.1268,14463.174,61.499,0.0367,0.2694701742076201,0.0506,1656.9640495286335,0.5325301956536121,330.6,0.21132650501136704,0.5196872344838838,56,56.753,553.4049989135897,34.54,79.11,479753.0895522388,0.010519817696705736,0.19799963013876776,0.0745,457.41791044776113,0.009145528986770237,1.0
u32,19.841,0.0172,98.0,0.03,1.74,0.0419,0.1935,0.1625,0.0262,671.2070185293306,8.776,51.431,15.061,0.0073,0.5032538037984771,622.2139915087764,0.1778,0.1039,0.1577,28294.55,62.13399999999999,0.0007,0.2630082937216857,0.121,1689.6529577789304,0.5337895154110975,1038.976,0.21610545728505204,0.5193749913074526,79,76.163,580.0764511536104,51.75899999999999,36.4,586218.4477611941,0.0122917700376614,0.20320219086721653,0.1133,531.820895522388,0.010668331980261469,0.0
u33,29.177,0.0202,55.0,0.01,1.08,0.0213,0.1746,0.0497,0.0445,674.9517021112896,14.987,39.947,19.648,0.0332,0.4967889279052416,628.2555368131698,0.1419,0.0767,0.1641,9193.429,55.868,0.0286,0.2600269300914764,0.063,1700.4663735272566,0.5365577423787814,164.412,0.2213162997355299,0.5180798798639789,77,65.365,587.4280186816245,14.482,34.84,600368.4925373135,0.012463419632501369,0.2034153275297422,0.1191,538.8955223880597,0.010763812818458516,1.0
u34,27.015,0.0118,223.0,0.23,12.2,0.0303,0.017,0.0382,0.0,659.9673348272871,19.714,48.203,11.632,0.0019,0.5085448361303478,612.8087916526422,0.0131,0.0425,0.0246,13402.75,52.54,0.0,0.2756281378673849,0.0349,1675.6396544019067,0.5302013244862545,169.0,0.206185564879493,0.5199723537750834,72,68.655,570.9619157773324,15.268,34.45,679348.8507462686,0.009916313488456984,0.19417053764636075,0.0298,633.4925373134329,0.008617929406025177,0.0
u35,14.758,0.0169,185.0,0.05,3.43,0.0506,0.046,0.0963,0.0055,655.3448323204648,24.666,46.611,11.248,0.0072,0.5071209931734558,609.1990775725043,0.0384,0.0611,0.0112,12160.7,72.592,0.0,0.2754396430837141,0.0781,1669.7585823958286,0.5306765293725693,362.424,0.207305244783564,0.5196392417327311,63,64.086,567.625782263515,35.701,35.59,697887.5522388059,0.010246431649362557,0.19388382754371672,0.0227,654.3880597014926,0.0088327094015013,0.0
u36,20.87,0.0275,314.0,0.06,4.06,0.0569,0.2828,0.1396,0.0191,663.6839861654049,21.283,63.32,19.194000000000006,0.0122,0.5172762566982272,614.1535837160089,0.1036,0.066,0.2693,45790.05,62.609,0.013,0.27550896071627395,0.1156,1686.3368679064315,0.5322002636873561,2378.222,0.2027535828408835,0.5249364365135334,86,59.523,571.9373158613273,242.767,209.74,636767.2686567164,0.010651338611044812,0.19229077559636998,0.1153,587.7014925373136,0.009351696653593256,0.0
u39,16.430999999999994,0.0,149.0,0.04,3.1,0.0039,0.0,0.0097,0.006,628.7673976947062,13.742,60.437,5.121,0.0058,0.5318290355534451,510.2164948453608,0.0,0.0069,0.0059,3650.4,58.95,0.0,0.22488956552129885,0.0082,1425.1104199066876,0.5548307582239419,147.583,0.2191472055888154,0.5428148518341518,40,81.13600000000002,495.9926696794239,37.681,53.62,41365.611940298506,0.010145356123173566,0.22027967625475928,0.0055,41.48484848484848,0.0087580920663986,0.0
u42,29.474,0.0295,176.0,0.15,6.23,0.0448,0.0686,0.0582,0.0223,657.7339475794282,33.695,103.091,17.371,0.0222,0.5404848964542741,602.4385276122526,0.0091,0.0733,0.0918,31540.6,43.332,0.0,0.26968703843418634,0.0556,1668.3745796906524,0.5454677520279819,165.97299999999996,0.19175156366025373,0.5422933998401093,69,48.934,559.8379747196353,16.332,34.2,451172.50746268657,0.01330822074936627,0.18484520953783165,0.0536,422.02985074626883,0.011713162186170255,1.0
u43,26.826,0.0396,143.0,0.18,4.18,0.0225,0.16399999999999998,0.1107,0.0211,656.5869313978791,17.639,20.589,19.863,0.0132,0.5404732587579206,602.4623699775648,0.0832,0.1032,0.1391,9712.095,61.525,0.0,0.2708091520701074,0.0501,1673.0735203925174,0.5407523076596006,160.04399999999995,0.1949883502322408,0.5395858252771445,69,62.497,560.9000712097364,11.692,40.75,440876.56716417905,0.012816354466044328,0.1884385402702919,0.0397,412.04477611940285,0.011134842381778441,0.0
u44,18.654,0.0354,322.0,0.07,4.62,0.0231,0.1523,0.1465,0.0524,661.5808906897737,12.86,65.508,9.759,0.0104,0.5258027726474457,597.2562723172338,0.0206,0.0491,0.0741,11217.524,60.166,0.0127,0.2686467057442836,0.0857,1677.6164800716526,0.5444385820454138,346.281,0.1982360731238518,0.5356454115550922,54,77.381,548.9556405690789,34.413000000000004,44.19,379462.76119402976,0.001972442723176997,0.18691471221030267,0.0419,357.1940298507463,0.0015197734991376807,0.0
u45,23.344,0.0494,435.0,0.39,14.65,0.0549,0.1023,0.07,0.0728,676.4668267038992,17.404,60.877,13.8,0.0113,0.5256939027348935,614.1594350459483,0.0098,0.0373,0.0813,24780.05,58.38399999999999,0.0,0.2695209207331733,0.0767,1699.8695652173913,0.5440353809679453,183.424,0.19801138565117146,0.5353911417482903,72,68.796,566.9046763193184,18.682,40.17,351115.8656716418,0.007333818339567326,0.18644369829888136,0.0434,322.3880597014925,0.004968853046777903,1.0
u46,34.051,0.0231,82.0,0.02,1.86,0.0125,0.1505,0.0347,0.0482,679.2735596115504,18.466,41.434,25.351,0.037000000000000005,0.5391235623247705,621.8039410015741,0.1444,0.0243,0.1761,17613.476000000002,52.882,0.0184,0.2697160676906432,0.0316,1708.929981855054,0.5439525009378852,718.1139999999998,0.19274559186220386,0.5408716336893493,85,56.183,576.5265599890872,31.315,57.18,318382.17910447763,0.008941973513338019,0.1863314313714717,0.0475,284.6268656716418,0.007345598876831531,1.0
u47,27.317,0.0607,70.0,0.04,3.1,0.0259,0.0683,0.047,0.0089,674.6929029180402,9.113,29.553,17.362000000000002,0.0046,0.5302082220432173,616.1325266984776,0.0309,0.0271,0.0466,7145.632,59.143,0.0,0.26687858670730363,0.0447,1703.6790292078174,0.5474662138249939,331.821,0.19734836333454767,0.5392954427651212,68,73.525,571.3469945599599,31.928,151.79,323773.0447761194,0.005647850584939708,0.1856551994677024,0.0251,293.2537313432836,0.004015258976433016,1.0
u49,18.194000000000006,0.0974,509.0,0.07,6.1,0.0431,0.1076,0.1161,0.0799,689.5964931999748,17.891,62.857,22.491,0.0323,0.5185570152404612,617.7851111603047,0.0647,0.0365,0.0209,22965.107000000004,46.995,0.0448,0.21511932572559075,0.0923,1701.021519134582,0.5105963886074878,3839.792,0.25722000750868546,0.5119395311196673,83,59.618,560.0435509754664,156.593,55.65,291566.9104477612,0.01075090760420582,0.27428428566692153,0.0284,259.31343283582095,0.008820178541998378,0.0
u50,17.472,0.035,184.0,0.03,3.18,0.0248,0.0488,0.0694,0.0072,667.8537892141446,22.184,140.565,28.38,0.0077,0.5233819520090736,602.0296353875676,0.0034,0.0273,0.0904,18210.25,66.046,0.0,0.270432757837248,0.078,1686.1991533222895,0.5400696045348929,902.4,0.2007023112952737,0.532083868363613,51,49.43600000000001,552.6412493214992,118.218,36.85,369906.77611940296,0.001437029324268358,0.18949763762785912,0.0198,348.4029850746268,0.001273381138307688,0.0
u51,24.012,0.004,148.0,0.06,2.68,0.021,0.2616,0.2268,0.0288,670.1115157025804,23.597,59.168,22.94,0.0103,0.5282090807344005,606.3989562624254,0.2014,0.1243,0.1292,18445.087,52.414,0.0012,0.2680029576448595,0.1535,1690.9815039701075,0.5464560887672065,758.449,0.19744092734209626,0.5378633880293838,79,53.462,558.5636167709183,89.76799999999999,178.83,364201.4029850746,0.008416965749442356,0.18554095358793413,0.128,339.23880597014926,0.005435446254273688,0.0
u52,12.254,0.0299,542.0,0.02,7.89,0.0316,0.1951,0.1095,0.0607,682.6613330100413,12.37,889.2710000000002,16.025,0.0137,0.5383303652836485,614.0166054507855,0.0905,0.0624,0.1538,151418.545,80.893,0.0045,0.2671120244099691,0.1443,1698.6305565078278,0.5505441899119313,491.721,0.19302366248858369,0.5443778251561283,51,71.605,558.4586922488371,26.596,69.56,296918.2686567164,0.01465227629746205,0.18234378567809947,0.1482,267.25373134328356,0.013164471306575123,1.0
u53,19.272,0.0246,272.0,0.09,3.23,0.0274,0.1754,0.1662,0.0428,674.7560525233002,15.285,149.719,21.951,0.0126,0.5326698065551801,613.5359967606964,0.0673,0.1121,0.0859,35303.8,74.795,0.004,0.2676385324994349,0.118,1705.1948692152914,0.5483748722808004,302.949,0.19490826777356146,0.5408159915707493,75,62.764,566.4838972411561,37.627,27.48,339230.46268656716,0.00598013706267704,0.1839865952197646,0.0786,310.8059701492537,0.0041770364076246964,0.0
u56,25.317,0.0044,100.0,0.09,1.73,0.019,0.0997,0.1188,0.0231,650.3652063604159,16.445999999999998,42.058,15.547,0.0201,0.5425089136040231,599.9809693610589,0.0735,0.0993,0.0471,13101.2,71.911,0.0154,0.26877067160983803,0.0724,1665.8413057766745,0.5453346602887333,132.94299999999998,0.19171373378736772,0.5430753689305754,70,68.007,561.2095225122284,15.667,165.34,462083.8507462686,0.013852994303360379,0.1858946681014285,0.0722,433.1641791044776,0.012176830442682756,0.0
u57,10.691,0.0459,989.0,0.13,11.0,0.0268,0.2473,0.0879,0.0517,658.3369127072043,12.678,139.805,18.518,0.0148,0.5410039053376159,602.4492272563903,0.2077,0.0869,0.2501,28505.286,86.272,0.0105,0.2709736113376236,0.0513,1680.2315302377535,0.5398414133549327,1370.696,0.19412976759720613,0.5392606664163683,80,68.805,560.104636159012,81.992,71.35,425302.1791044776,0.014439776545598504,0.1891849753074437,0.0922,398.53731343283584,0.012417826571435414,0.0
u58,23.834,0.0156,275.0,0.11,3.3,0.0194,0.2216,0.1552,0.0325,724.7272955356121,22.035,58.736,22.077,0.0269,0.5049915310264073,659.1099559403262,0.1618,0.1316,0.1114,19030.5,68.983,0.0136,0.22149407653657288,0.1438,1704.1845347313238,0.4698224308753505,95.289,0.2863610701713312,0.4822238293451746,68,55.887,605.5320161540885,12.393,55.26,254534.49253731343,0.010872165571424695,0.30868349258807665,0.0928,207.9850746268657,0.008928988568050585,0.0
u59,0.6579999999999999,0.0831,127.0,0.04,3.02,0.0299,0.1485,0.0565,0.0252,694.5068983952748,13.905,84.677,17.125,0.0273,0.4651484372164825,622.8987616409094,0.1711,0.0681,0.1677,27778.15,97.938,0.0208,0.17006235213238574,0.0321,1701.914733390016,0.4473922658944859,205.867,0.3521733227698248,0.455781330994094,75,68.97,563.8190023042196,13.994000000000002,158.19,278528.71641791053,0.010982606794175741,0.3825453819731284,0.0408,246.7014925373134,0.009011020393366627,1.0
