,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Phonecharge duration during night,Phonelock duration during afternoon,Phonelock duration during night,Phonelock duration during evening,Average duration of each conversation during night,Low strength of wifi level,Total counts of wifi-bssid address,Medium strength of wifi level,Light duration during evening,Daily average 0 ratio during night,Average duration of each conversation,Phonecharge duration during afternoon,Light duration during night,Light duration during afternoon,Frequency of wifi,High strength of bluetooth level,Phonecharge duration during evening,Daily average 1 ratio during day,Phonelock duration during morning,Average duration of each long-time conversation(>10 mins),Daily average 0 ratio during day,Bluetooth class,Daily average 2 ratio during night,Audio daily average 0 ratio,The frequency of changing building,High strength of wifi level,Average duration of each conversation during day,Total counts of bluetooth mac address,Average accuracy,Daily average conversation duration,Daily average running ratio,Daily average 2 ratio during day,Light duration during morning,Daily frequency of conversation during day,Daily average running ratio during day,Daily frequency of long-time conversation(>10 mins),Daily average 1 ratio during night,Daily average unknown activity ratio,Audio daily average 2 ratio,Daily average long-time conversation duration(>10 mins),Wifi times of gps_network_type,Low strength of bluetooth level,Daily frequency of conversation during night,Network times of gps provider,Daily average conversation duration during night,Audio daily average 1 ratio,Daily average walking ratio,Daily average conversation duration during day,Daily average stationary ratio during day,Daily average running ratio during night,Daily average walking ratio during day,Daily average stationary ratio,Daily frequency of conversation,Daily average unknown activity ratio during night,Daily average unknown activity ratio during day,Negative
u12,18.52,0.0993,396.0,0.14,4.17,0.0195,0.2025,0.1252,0.0603,651.3008306539683,20.52,62.053,18.057,0.0358,0.5052621847962759,556.3448502796973,0.184,0.1338,0.173,25302.2,73.541,0.0202,0.22074965098066412,0.1609,1564.9767060367456,0.5341040681863697,152.295,0.2384135321492912,0.5190132966937624,78,61.423,505.00191536987916,11.358,181.58,100939.223880597,0.01042011571648314,0.24514628083296625,0.1563,96.34328358208955,0.008961392395200841,45.49253731343283,0.25632428305443306,0.02618504371078121,0.2433218718597996,71194.76119402985,5812.0,7.939,85.08955223880595,6151.0,55076.97014925373,0.23766483144643802,0.038458131860939535,45862.253731343284,0.9284096955928786,0.012554685747413832,0.03691731787275252,0.924936708711796,181.43283582089558,0.026816347028188067,0.025711594139168088,0.0
u13,18.266,0.0466,596.0,0.08,4.86,0.0581,0.1703,0.0868,0.0225,628.1610941755055,23.651,182.256,24.374,0.0078,0.5263342382306709,527.8815637065637,0.0278,0.0372,0.2095,41297.455,68.707,0.0167,0.2247927181302284,0.0653,1520.2778229082046,0.5455567657615639,3587.042,0.22582288276471466,0.5350229594974601,79,51.975,483.2374919160785,319.44,95.9,81624.67164179105,0.010351158582529229,0.2296505161082077,0.0329,85.51515151515152,0.008887329095580897,36.74626865671642,0.24784287900461435,0.026240096056005986,0.2287520282344976,55864.53731343283,5857.0,13.027,70.38805970149255,6006.0,43090.925373134334,0.2362250122680423,0.0380651074137764,39117.59090909091,0.9289004581226659,0.01249663549458715,0.03646679721832827,0.9253436379476886,154.62686567164178,0.02691337610858767,0.025745415563425102,1.0
u14,19.822,0.029,111.0,0.01,1.15,0.0372,0.1746,0.1095,0.0248,724.1918478800916,21.348000000000006,44.474,17.754,0.0106,0.4687230496150628,648.2303226070245,0.1192,0.0569,0.1857,14767.619,45.652,0.002,0.2488838205757041,0.1145,1687.31196400956,0.5265907976902617,944.209,0.24385369971078955,0.4989652817672818,83,60.897,586.1489291544318,49.756,39.84,236623.4179104477,0.010675139442726385,0.2245253817340341,0.0946,197.64179104477608,0.00908070639566742,106.1641791044776,0.2874232506741476,0.025266850082146474,0.23357472928002376,179132.08955223882,3694.0,34.526,167.38805970149255,3694.0,120761.82089552238,0.2674599889526945,0.03926892029139043,115861.59701492536,0.9293722171574798,0.01298479339663617,0.037198969710599016,0.9247890901837368,365.02985074626883,0.02654112838022234,0.02434810673625411,1.0
u15,29.614,0.0287,88.0,0.14,6.05,0.0178,0.0444,0.0684,0.0117,681.496641336327,18.573,29.117,16.641,0.0126,0.4665348787349344,598.5955818022748,0.0059,0.0448,0.0451,9134.1,59.67100000000001,0.0038,0.25003058636186604,0.0292,1628.227724781815,0.5277264197664974,150.361,0.2432086669424353,0.4986064507097821,77,64.786,536.8222360457708,9.666,35.85,163389.79104477612,0.011126307815743102,0.22224299387163649,0.0189,144.7761194029851,0.00928077207078405,73.5373134328358,0.2902564543226303,0.025535741214628555,0.23189157293065826,119735.49253731346,1700.0,10.715,128.17910447761193,1698.0,86971.34328358209,0.2695019763595597,0.040095077324380016,76418.44776119402,0.9290327110677182,0.01375498864201162,0.03724005498502368,0.923242873645248,272.95522388059703,0.02704474392794678,0.02444646187647428,1.0
u16,27.102,0.0431,95.0,0.02,1.63,0.059,0.1388,0.1576,0.0364,671.3652746336884,6.776,39.188,16.483,0.0223,0.494762159583731,589.2235386017446,0.0703,0.0915,0.0846,8722.955,50.299,0.013,0.2567317016148322,0.1127,1627.756622926467,0.5406665620115033,376.812,0.2222606174953029,0.5193484790392979,86,76.741,541.2990721806945,23.972,32.26,135099.28358208956,0.010548683315002857,0.2026017363736647,0.0991,124.59701492537312,0.008736901942254167,60.28358208955224,0.28297722292096583,0.02503380542517092,0.2113643405125752,98127.0,5795.0,22.599,104.68656716417914,5795.0,69427.10447761194,0.26928718044812683,0.039086794697582514,65672.17910447763,0.9315577126817493,0.01312755511054372,0.035836862184767566,0.9253307165622436,229.28358208955228,0.026635788674178883,0.02386852319122897,1.0
u17,21.694000000000006,0.0455,54.0,0.01,0.91,0.04,0.1695,0.1826,0.0656,672.7778913209997,23.332,74.807,32.01,0.0406,0.4731874550844149,592.2906671440505,0.0821,0.1856,0.1583,15728.25,69.418,0.018000000000000002,0.2577224047594188,0.1015,1629.636466080685,0.5252865101297769,246.439,0.2348624962171103,0.5007104866027378,74,44.659,538.1332442871652,15.425999999999998,36.79,148143.38805970148,0.010698111998686291,0.2169910851108044,0.0975,133.58208955223878,0.008886019523582506,66.22388059701493,0.29195004869847496,0.02526989577228586,0.2251005540044664,107920.85074626864,6346.0,8.888,116.53731343283579,6346.0,77825.44776119402,0.2741889593927958,0.03907215922227613,70317.94029850746,0.931168150570334,0.013276412562493107,0.03590972471643298,0.9249598330067516,250.11940298507463,0.0269736511376127,0.02403610518965017,1.0
u18,23.987,0.0433,287.0,0.08,4.0,0.0474,0.1174,0.1124,0.0453,655.7300616729261,11.511,47.672,20.07,0.0055,0.5001225153587046,602.2296169890028,0.0603,0.0916,0.0937,12406.048,69.14,0.0054,0.26929816593780764,0.0756,1671.239678005713,0.5270868833104204,752.5,0.21703108230447232,0.5142848499425465,69,68.419,558.0988193895797,49.525,48.61,521458.9402985074,0.011319071058337543,0.2036149507517723,0.0644,490.53731343283584,0.009765083327983629,229.91044776119404,0.2828464023368231,0.02652187750947631,0.20956584285962834,384235.46268656716,3412.0,6.872999999999998,375.3432835820896,3412.0,247076.0149253732,0.2761493071978252,0.041321646204090096,274382.9253731343,0.9226944062376669,0.013585175255540536,0.04097492658297722,0.920837405228096,865.8805970149252,0.02644464339767997,0.026565583851372244,1.0
u19,24.902,0.0649,147.0,0.06,4.03,0.0591,0.2831,0.1085,0.0466,652.4699348970134,14.632,67.311,20.29,0.0196,0.5043223231618087,599.7019293225427,0.012,0.0908,0.2656,18625.0,58.456,0.0179,0.2682014244828512,0.0608,1670.0285752259435,0.5315183938041099,478.366,0.21277329954311325,0.5186285629840867,64,65.078,556.5789723958078,26.291,31.29,509863.0,0.010614823149390565,0.20028018171303888,0.0492,480.8955223880597,0.009175337170794095,224.59701492537314,0.2829043772950781,0.0260834469658019,0.2058416112118199,375083.43283582095,4451.0,16.642,369.2985074626866,4446.0,241740.1343283582,0.2755298258040935,0.040940478536034136,268122.8656716418,0.9246474261687876,0.012708496152977576,0.04007829115564498,0.9223612513487732,850.1940298507463,0.02601977498976455,0.026098945504773426,0.0
u20,10.919,0.034,273.0,0.02,2.4,0.0186,0.0805,0.0766,0.0137,657.9642451539928,16.362000000000002,60.832,25.238000000000003,0.006,0.5114201674570186,610.5626667728702,0.0258,0.0788,0.0682,11013.55,86.24600000000002,0.0091,0.2744359256080557,0.0671,1674.333546451581,0.5325765449273587,231.829,0.2051162551603907,0.5226205095229804,63,58.4,568.72147370737,20.134,26.51,686445.5820895522,0.010015159921225435,0.1929875294645856,0.0429,642.9253731343282,0.008647783389245945,303.4776119402985,0.2834635773825905,0.02600868930232644,0.19829164823807452,508122.7462686568,2560.0,2.835,481.35820895522386,2560.0,318590.9701492537,0.2790878422389449,0.03987191390833216,367854.6119402985,0.9266824590463596,0.0119955595029083,0.03879543874099289,0.9241042368681162,1124.2835820895523,0.02618564180706808,0.025874318823401663,0.0
u22,21.738000000000003,0.0379,202.0,0.03,2.04,0.0478,0.1992,0.1226,0.006999999999999999,662.0021465625098,22.529,73.34899999999998,27.161,0.0175,0.5200391758065747,613.6974325549762,0.0481,0.114,0.1546,20380.1,70.55,0.0014,0.2738594487902848,0.1049,1686.3009713835654,0.5333250023215993,159.933,0.2024810673178296,0.5267389783981345,75,50.309,571.6967736793893,9.28,32.44,646452.3880597015,0.01022577942333686,0.1928155488881157,0.1118,597.9104477611942,0.008907585894774963,284.2537313432836,0.2774797568755957,0.02646381956337804,0.1970234141261632,479337.34328358213,3527.0,7.7120000000000015,455.46268656716416,3516.0,303147.14925373136,0.2762376074757025,0.03968544878744743,343305.2388059702,0.9259389104311267,0.012151108615479337,0.038873828361835186,0.9236249522258376,1053.3731343283582,0.026671047255875702,0.0262796753122632,0.0
u23,14.017,0.027000000000000003,812.0,0.13,16.18,0.1492,0.0526,0.07200000000000001,0.0513,669.5279893005768,20.429,46.471,23.578000000000007,0.0659,0.5206544311339939,619.6928189717703,0.0307,0.1415,0.0421,6278.2,79.443,0.0975,0.27142253644811004,0.2083,1692.5314518317505,0.536999058163709,327.37,0.20240410460608213,0.5291811666261129,60,55.993,575.9723048790737,34.663000000000004,26.41,624807.5970149253,0.010391287661744016,0.1915784053881809,0.1997,571.7313432835822,0.009074738802293794,275.0,0.27694146425992383,0.026099430301027224,0.19627230678785013,465446.1492537314,2076.0,6.539,436.5223880597016,2076.0,294061.65671641787,0.2745465265860369,0.038805814549256835,330745.94029850746,0.927476520506215,0.012320052561795072,0.037640525066859,0.924703467487972,1008.2537313432837,0.026477444419378843,0.02580821562463221,1.0
u24,20.059,0.0281,26.0,0.03,1.3,0.006,0.0975,0.0562,0.0241,656.488718626066,18.787,29.404,15.635,0.0103,0.5046499370111533,604.5837425078731,0.0388,0.0339,0.0429,6052.75,72.685,0.0248,0.26595576570609564,0.0637,1675.7449459631275,0.5308010993910961,244.276,0.2145997743258989,0.5182456993802333,66,65.578,560.4006640375935,21.864,45.33,532954.1044776121,0.011891072034008745,0.20324313490280813,0.0567,500.8955223880597,0.010334507189102593,234.77611940298507,0.2807502886629478,0.02724691620481945,0.2083617147412124,393424.8955223881,2121.0,7.256,380.6268656716418,2125.0,251227.89552238805,0.2733925858785541,0.04229474472785715,281726.2089552239,0.9199665374532324,0.014173212254301275,0.04225936222383778,0.9185672670333148,881.5223880597015,0.026964397631278333,0.02743959313382724,0.0
u27,22.079,0.0546,32.0,0.01,0.62,0.0412,0.1259,0.0697,0.0283,673.49749229308,9.76,30.285,24.155,0.0096,0.5037234240489553,622.6083366043662,0.0678,0.0839,0.122,4968.25,62.74100000000001,0.0008,0.2593602674117169,0.0563,1697.1215731700588,0.5388220053417861,353.545,0.21632600614099184,0.5222941506510491,56,66.085,578.8732406434376,14.639,28.32,615527.328358209,0.012812295820608914,0.20181772724649708,0.1238,562.5970149253732,0.011080318330631058,270.5820895522388,0.2799505698100529,0.026681950274135887,0.208315237849106,459210.7014925373,4410.0,15.18,426.02985074626883,4410.0,288698.37313432834,0.2693906114998447,0.03974266511237251,326828.9552238806,0.9229881475951074,0.015354104970939631,0.03895877078472376,0.9207630887928824,988.6268656716417,0.02628917159358771,0.026972763289537603,1.0
u30,23.029,0.0186,52.0,0.06,1.66,0.0083,0.2236,0.1561,0.0528,667.4253488034416,10.813,32.454,20.145,0.0176,0.4969511036710981,615.365446549723,0.1834,0.1274,0.1777,44151.05,67.155,0.005,0.26996181972146194,0.1146,1683.2976254884281,0.5227938595737764,1234.772,0.21953093974890486,0.5104170203330971,74,69.042,570.5879329917346,48.24,45.7,561810.2835820896,0.01183871066675925,0.20724432070476176,0.0862,518.1641791044776,0.010302656069595876,248.28358208955228,0.283517956579997,0.027794357914832903,0.21274953789103834,417935.16417910455,3795.0,9.816,394.8059701492537,3795.0,265038.74626865675,0.2768334417758648,0.04235213277969064,296771.53731343284,0.9197992242301284,0.014091028432175346,0.04200340077475096,0.9180147986387172,912.9701492537314,0.027639496547253287,0.027894718925524743,1.0
u31,22.479,0.0495,254.0,0.31,5.87,0.0445,0.1089,0.0602,0.0606,645.5905381521168,26.107,43.822,17.14,0.0727,0.505361846630786,593.5345483418272,0.0561,0.0701,0.1268,14463.174,61.499,0.0367,0.2694701742076201,0.0506,1656.9640495286335,0.5325301956536121,330.6,0.21132650501136704,0.5196872344838838,56,56.753,553.4049989135897,34.54,79.11,479753.0895522388,0.010519817696705736,0.19799963013876776,0.0745,457.41791044776113,0.009145528986770237,212.1492537313433,0.2833116483578471,0.02716553232763781,0.20390773970096607,351523.6865671642,3896.0,16.023,350.8805970149254,3949.0,226538.38805970148,0.2764050258151501,0.04094991378500969,253214.7014925373,0.9235598623870988,0.01251293930743512,0.040169941292544836,0.9213647361906466,808.2985074626863,0.02716088147948711,0.027124667333586483,1.0
u32,19.841,0.0172,98.0,0.03,1.74,0.0419,0.1935,0.1625,0.0262,671.2070185293306,8.776,51.431,15.061,0.0073,0.5032538037984771,622.2139915087764,0.1778,0.1039,0.1577,28294.55,62.13399999999999,0.0007,0.2630082937216857,0.121,1689.6529577789304,0.5337895154110975,1038.976,0.21610545728505204,0.5193749913074526,79,76.163,580.0764511536104,51.75899999999999,36.4,586218.4477611941,0.0122917700376614,0.20320219086721653,0.1133,531.820895522388,0.010668331980261469,259.1194029850746,0.2806407389164711,0.02679691796100824,0.2089713074887333,437821.8656716418,3722.0,18.024,410.32835820895525,3722.0,276614.9850746269,0.27165370120381394,0.04146034579434134,309603.46268656716,0.9208253236824656,0.014672980725656209,0.04133257084017121,0.9194509662069889,942.1492537313433,0.026346439831351275,0.0271737734971018,0.0
u33,29.177,0.0202,55.0,0.01,1.08,0.0213,0.1746,0.0497,0.0445,674.9517021112896,14.987,39.947,19.648,0.0332,0.4967889279052416,628.2555368131698,0.1419,0.0767,0.1641,9193.429,55.868,0.0286,0.2600269300914764,0.063,1700.4663735272566,0.5365577423787814,164.412,0.2213162997355299,0.5180798798639789,77,65.365,587.4280186816245,14.482,34.84,600368.4925373135,0.012463419632501369,0.2034153275297422,0.1191,538.8955223880597,0.010763812818458516,264.76119402985074,0.2818947723592285,0.02615868807782477,0.21136371124507067,450217.50746268657,2754.0,14.955,416.71641791044783,2754.0,282671.65671641787,0.2705564088909506,0.03980913035440534,317696.8358208955,0.92337623555608,0.014947075867634631,0.03918874390103592,0.9215687619352684,955.6119402985074,0.025454107235685586,0.02667120772442546,1.0
u34,27.015,0.0118,223.0,0.23,12.2,0.0303,0.017,0.0382,0.0,659.9673348272871,19.714,48.203,11.632,0.0019,0.5085448361303478,612.8087916526422,0.0131,0.0425,0.0246,13402.75,52.54,0.0,0.2756281378673849,0.0349,1675.6396544019067,0.5302013244862545,169.0,0.206185564879493,0.5199723537750834,72,68.655,570.9619157773324,15.268,34.45,679348.8507462686,0.009916313488456984,0.19417053764636075,0.0298,633.4925373134329,0.008617929406025177,300.5820895522388,0.2852695989901592,0.02716372259409748,0.1994461827356429,503667.2686567164,1876.0,20.445,475.089552238806,1876.0,315431.4029850746,0.2805814634892736,0.03972883496812474,363917.44776119397,0.9259034620960832,0.01180929494349594,0.03864006330908636,0.9231911289493208,1108.5820895522388,0.027548164352986258,0.02683854518880564,0.0
u35,14.758,0.0169,185.0,0.05,3.43,0.0506,0.046,0.0963,0.0055,655.3448323204648,24.666,46.611,11.248,0.0072,0.5071209931734558,609.1990775725043,0.0384,0.0611,0.0112,12160.7,72.592,0.0,0.2754396430837141,0.0781,1669.7585823958286,0.5306765293725693,362.424,0.207305244783564,0.5196392417327311,63,64.086,567.625782263515,35.701,35.59,697887.5522388059,0.010246431649362557,0.19388382754371672,0.0227,654.3880597014926,0.0088327094015013,309.1194029850746,0.2855737620429802,0.02660967090288556,0.1997641650404551,516154.77611940296,4155.0,12.651,491.1940298507463,4155.0,323866.9850746269,0.2805965932268137,0.040423948981433866,374020.56716417905,0.9255417310864856,0.0122878256983451,0.03921660508867685,0.922719948466318,1145.5820895522388,0.026873401393302715,0.026408954423336288,0.0
u36,20.87,0.0275,314.0,0.06,4.06,0.0569,0.2828,0.1396,0.0191,663.6839861654049,21.283,63.32,19.194000000000006,0.0122,0.5172762566982272,614.1535837160089,0.1036,0.066,0.2693,45790.05,62.609,0.013,0.27550896071627395,0.1156,1686.3368679064315,0.5322002636873561,2378.222,0.2027535828408835,0.5249364365135334,86,59.523,571.9373158613273,242.767,209.74,636767.2686567164,0.010651338611044812,0.19229077559636998,0.1153,587.7014925373136,0.009351696653593256,280.1044776119403,0.2799701604608893,0.02667021647615606,0.19683186424221952,472350.50746268657,4710.0,16.521,449.1194029850746,5108.0,299427.25373134325,0.27823169924424745,0.039580907537865855,337340.01492537314,0.9255908986428883,0.01255963876495625,0.03871980589213727,0.9230975373749334,1036.820895522388,0.02710460349137707,0.026337598811381292,0.0
u39,16.430999999999994,0.0,149.0,0.04,3.1,0.0039,0.0,0.0097,0.006,628.7673976947062,13.742,60.437,5.121,0.0058,0.5318290355534451,510.2164948453608,0.0,0.0069,0.0059,3650.4,58.95,0.0,0.22488956552129885,0.0082,1425.1104199066876,0.5548307582239419,147.583,0.2191472055888154,0.5428148518341518,40,81.13600000000002,495.9926696794239,37.681,53.62,41365.611940298506,0.010145356123173566,0.22027967625475928,0.0055,41.48484848484848,0.0087580920663986,19.19402985074627,0.2490237588577395,0.02588667954149741,0.22041029404528686,27353.611940298506,1200.0,24.619,40.208955223880594,1200.0,23296.53731343284,0.2367748541205613,0.03755308944032703,18342.848484848484,0.9300117461483359,0.012176161063318971,0.03575060014153173,0.9264148748950016,81.07462686567165,0.026453861583855643,0.025479561643733658,0.0
