,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average 2 ratio during night,Audio daily average 2 ratio,Bluetooth class,Daily average stationary ratio during night,Phonelock duration during night,Daily average 2 ratio during day,Daily average unknown activity ratio during night,Total counts of bluetooth mac address,Average accuracy,Phonecharge duration during evening,Medium strength of wifi level,Light duration during evening,Daily average walking ratio,Audio daily average 0 ratio,Daily average 0 ratio during day,Average duration of each long-time conversation(>10 mins),Average speed,Average duration of each conversation during night,Phonelock duration during evening,Phonecharge duration during afternoon,Light duration during morning,Average bearing,Wifi times of gps_network_type,High strength of wifi level,Phonecharge duration during night,Light duration during night,Gps times of gps provider,High strength of bluetooth level,Daily average walking ratio during day,Daily average running ratio during night,Low strength of bluetooth level,Phonecharge duration during morning,Daily average running ratio during day,Low strength of wifi level,Network times of gps provider,Medium strength of bluetooth level,Phonelock duration during afternoon,Total counts of wifi-bssid address,Daily average stationary ratio,Daily average 0 ratio during night,Daily average conversation duration,Daily average unknown activity ratio during day,Daily average running ratio,Daily average walking ratio during night,Cell  times of gps_network_type,FlourishingScale
u12,25302.2,0.1609,78,556.3448502796973,505.00191536987916,0.2384135321492912,0.2433218718597996,152.295,0.91989582758811,0.1252,0.24514628083296625,0.026816347028188067,11.358,181.58,0.0202,18.057,0.0358,0.038458131860939535,0.5190132966937624,0.5341040681863697,1564.9767060367456,0.14,651.3008306539683,0.0603,0.184,0.1563,4.17,5812.0,61.423,0.0195,0.1338,396.0,73.541,0.03691731787275252,0.012554685747413832,7.939,0.0993,0.008961392395200841,20.52,6151.0,18.52,0.2025,62.053,0.924936708711796,0.5052621847962759,100939.223880597,0.025711594139168088,0.01042011571648314,0.04073313963628821,339.0,1.0
u13,41297.455,0.0653,79,527.8815637065637,483.2374919160785,0.22582288276471466,0.2287520282344976,3587.042,0.9201629409523512,0.0868,0.2296505161082077,0.02691337610858767,319.44,95.9,0.0167,24.374,0.0078,0.0380651074137764,0.5350229594974601,0.5455567657615639,1520.2778229082046,0.08,628.1610941755055,0.0225,0.0278,0.0329,4.86,5857.0,51.975,0.0581,0.0372,596.0,68.707,0.03646679721832827,0.01249663549458715,13.027,0.0466,0.008887329095580897,23.651,6006.0,18.266,0.1703,182.256,0.9253436379476886,0.5263342382306709,81624.67164179105,0.025745415563425102,0.010351158582529229,0.04042704744447412,151.0,0.0
u14,14767.619,0.1145,83,648.2303226070245,586.1489291544318,0.24385369971078955,0.23357472928002376,944.209,0.9182027598218264,0.1095,0.2245253817340341,0.02654112838022234,49.756,39.84,0.002,17.754,0.0106,0.03926892029139043,0.4989652817672818,0.5265907976902617,1687.31196400956,0.01,724.1918478800916,0.0248,0.1192,0.0946,1.15,3694.0,60.897,0.0372,0.0569,111.0,45.652,0.037198969710599016,0.01298479339663617,34.526,0.029,0.00908070639566742,21.348000000000006,3694.0,19.822,0.1746,44.474,0.9247890901837368,0.4687230496150628,236623.4179104477,0.02434810673625411,0.010675139442726385,0.04227131840131534,0.0,1.0
u15,9134.1,0.0292,77,598.5955818022748,536.8222360457708,0.2432086669424353,0.23189157293065826,150.361,0.9149922644552622,0.0684,0.22224299387163649,0.02704474392794678,9.666,35.85,0.0038,16.641,0.0126,0.040095077324380016,0.4986064507097821,0.5277264197664974,1628.227724781815,0.14,681.496641336327,0.0117,0.0059,0.0189,6.05,1700.0,64.786,0.0178,0.0448,88.0,59.67100000000001,0.03724005498502368,0.01375498864201162,10.715,0.0287,0.00928077207078405,18.573,1698.0,29.614,0.0444,29.117,0.923242873645248,0.4665348787349344,163389.79104477612,0.02444646187647428,0.011126307815743102,0.04420800297477917,0.0,1.0
u16,8722.955,0.1127,86,589.2235386017446,541.2990721806945,0.2222606174953029,0.2113643405125752,376.812,0.9164892364384848,0.1576,0.2026017363736647,0.026635788674178883,23.972,32.26,0.013,16.483,0.0223,0.039086794697582514,0.5193484790392979,0.5406665620115033,1627.756622926467,0.02,671.3652746336884,0.0364,0.0703,0.0991,1.63,5795.0,76.741,0.059,0.0915,95.0,50.299,0.035836862184767566,0.01312755511054372,22.599,0.0431,0.008736901942254167,6.776,5795.0,27.102,0.1388,39.188,0.9253307165622436,0.494762159583731,135099.28358208956,0.02386852319122897,0.010548683315002857,0.04374741977679263,0.0,0.0
u17,15728.25,0.1015,74,592.2906671440505,538.1332442871652,0.2348624962171103,0.2251005540044664,246.439,0.9161487999943893,0.1826,0.2169910851108044,0.0269736511376127,15.425999999999998,36.79,0.018000000000000002,32.01,0.0406,0.03907215922227613,0.5007104866027378,0.5252865101297769,1629.636466080685,0.01,672.7778913209997,0.0656,0.0821,0.0975,0.91,6346.0,44.659,0.04,0.1856,54.0,69.418,0.03590972471643298,0.013276412562493107,8.888,0.0455,0.008886019523582506,23.332,6346.0,21.694000000000006,0.1695,74.807,0.9249598330067516,0.4731874550844149,148143.38805970148,0.02403610518965017,0.010698111998686291,0.043601136305504856,0.0,0.0
u18,12406.048,0.0756,69,602.2296169890028,558.0988193895797,0.21703108230447232,0.20956584285962834,752.5,0.9179687335241379,0.1124,0.2036149507517723,0.02644464339767997,49.525,48.61,0.0054,20.07,0.0055,0.041321646204090096,0.5142848499425465,0.5270868833104204,1671.239678005713,0.08,655.7300616729261,0.0453,0.0603,0.0644,4.0,3412.0,68.419,0.0474,0.0916,287.0,69.14,0.04097492658297722,0.013585175255540536,6.872999999999998,0.0433,0.009765083327983629,11.511,3412.0,23.987,0.1174,47.672,0.920837405228096,0.5001225153587046,521458.9402985074,0.026565583851372244,0.011319071058337543,0.04200144782264128,0.0,0.0
u19,18625.0,0.0608,64,599.7019293225427,556.5789723958078,0.21277329954311325,0.2058416112118199,478.366,0.9189703220229406,0.1085,0.20028018171303888,0.02601977498976455,26.291,31.29,0.0179,20.29,0.0196,0.040940478536034136,0.5186285629840867,0.5315183938041099,1670.0285752259435,0.06,652.4699348970134,0.0466,0.012,0.0492,4.03,4451.0,65.078,0.0591,0.0908,147.0,58.456,0.04007829115564498,0.012708496152977576,16.642,0.0649,0.009175337170794095,14.632,4446.0,24.902,0.2831,67.311,0.9223612513487732,0.5043223231618087,509863.0,0.026098945504773426,0.010614823149390565,0.042301406834317434,0.0,0.0
u20,11013.55,0.0671,63,610.5626667728702,568.72147370737,0.2051162551603907,0.19829164823807452,231.829,0.9203538087132608,0.0766,0.1929875294645856,0.02618564180706808,20.134,26.51,0.0091,25.238000000000003,0.006,0.03987191390833216,0.5226205095229804,0.5325765449273587,1674.333546451581,0.02,657.9642451539928,0.0137,0.0258,0.0429,2.4,2560.0,58.4,0.0186,0.0788,273.0,86.24600000000002,0.03879543874099289,0.0119955595029083,2.835,0.034,0.008647783389245945,16.362000000000002,2560.0,10.919,0.0805,60.832,0.9241042368681162,0.5114201674570186,686445.5820895522,0.025874318823401663,0.010015159921225435,0.0414649899767631,0.0,0.0
u22,20380.1,0.1049,75,613.6974325549762,571.6967736793893,0.2024810673178296,0.1970234141261632,159.933,0.920273706903172,0.1226,0.1928155488881157,0.026671047255875702,9.28,32.44,0.0014,27.161,0.0175,0.03968544878744743,0.5267389783981345,0.5333250023215993,1686.3009713835654,0.03,662.0021465625098,0.006999999999999999,0.0481,0.1118,2.04,3527.0,50.309,0.0478,0.114,202.0,70.55,0.038873828361835186,0.012151108615479337,7.7120000000000015,0.0379,0.008907585894774963,22.529,3516.0,21.738000000000003,0.1992,73.34899999999998,0.9236249522258376,0.5200391758065747,646452.3880597015,0.0262796753122632,0.01022577942333686,0.0409041372254728,0.0,1.0
u23,6278.2,0.2083,60,619.6928189717703,575.9723048790737,0.20240410460608213,0.19627230678785013,327.37,0.9206464100476726,0.07200000000000001,0.1915784053881809,0.026477444419378843,34.663000000000004,26.41,0.0975,23.578000000000007,0.0659,0.038805814549256835,0.5291811666261129,0.536999058163709,1692.5314518317505,0.13,669.5279893005768,0.0513,0.0307,0.1997,16.18,2076.0,55.993,0.1492,0.1415,812.0,79.443,0.037640525066859,0.012320052561795072,6.539,0.027000000000000003,0.009074738802293794,20.429,2076.0,14.017,0.0526,46.471,0.924703467487972,0.5206544311339939,624807.5970149253,0.02580821562463221,0.010391287661744016,0.04055609297115316,0.0,0.0
u24,6052.75,0.0637,66,604.5837425078731,560.4006640375935,0.2145997743258989,0.2083617147412124,244.276,0.9163200583602574,0.0562,0.20324313490280813,0.026964397631278333,21.864,45.33,0.0248,15.635,0.0103,0.04229474472785715,0.5182456993802333,0.5308010993910961,1675.7449459631275,0.03,656.488718626066,0.0241,0.0388,0.0567,1.3,2121.0,65.578,0.006,0.0339,26.0,72.685,0.04225936222383778,0.014173212254301275,7.256,0.0281,0.010334507189102593,18.787,2125.0,20.059,0.0975,29.404,0.9185672670333148,0.5046499370111533,532954.1044776121,0.02743959313382724,0.011891072034008745,0.04254233175416277,4.0,0.0
u27,4968.25,0.0563,56,622.6083366043662,578.8732406434376,0.21632600614099184,0.208315237849106,353.545,0.9172574887857124,0.0697,0.20181772724649708,0.02628917159358771,14.639,28.32,0.0008,24.155,0.0096,0.03974266511237251,0.5222941506510491,0.5388220053417861,1697.1215731700588,0.01,673.49749229308,0.0283,0.0678,0.1238,0.62,4410.0,66.085,0.0412,0.0839,32.0,62.74100000000001,0.03895877078472376,0.015354104970939631,15.18,0.0546,0.011080318330631058,9.76,4410.0,22.079,0.1259,30.285,0.9207630887928824,0.5037234240489553,615527.328358209,0.026972763289537603,0.012812295820608914,0.04109923464976024,0.0,0.0
u30,44151.05,0.1146,74,615.365446549723,570.5879329917346,0.21953093974890486,0.21274953789103834,1234.772,0.9151996884827536,0.1561,0.20724432070476176,0.027639496547253287,48.24,45.7,0.005,20.145,0.0176,0.04235213277969064,0.5104170203330971,0.5227938595737764,1683.2976254884281,0.06,667.4253488034416,0.0528,0.1834,0.0862,1.66,3795.0,69.042,0.0083,0.1274,52.0,67.155,0.04200340077475096,0.014091028432175346,9.816,0.0186,0.010302656069595876,10.813,3795.0,23.029,0.2236,32.454,0.9180147986387172,0.4969511036710981,561810.2835820896,0.027894718925524743,0.01183871066675925,0.04306978653781772,0.0,1.0
u31,14463.174,0.0506,56,593.5345483418272,553.4049989135897,0.21132650501136704,0.20390773970096607,330.6,0.9181682499147142,0.0602,0.19799963013876776,0.02716088147948711,34.54,79.11,0.0367,17.14,0.0727,0.04094991378500969,0.5196872344838838,0.5325301956536121,1656.9640495286335,0.31,645.5905381521168,0.0606,0.0561,0.0745,5.87,3896.0,56.753,0.0445,0.0701,254.0,61.499,0.040169941292544836,0.01251293930743512,16.023,0.0495,0.009145528986770237,26.107,3949.0,22.479,0.1089,43.822,0.9213647361906466,0.505361846630786,479753.0895522388,0.027124667333586483,0.010519817696705736,0.04215792929836372,53.0,0.0
u32,28294.55,0.121,79,622.2139915087764,580.0764511536104,0.21610545728505204,0.2089713074887333,1038.976,0.9170701536014564,0.1625,0.20320219086721653,0.026346439831351275,51.75899999999999,36.4,0.0007,15.061,0.0073,0.04146034579434134,0.5193749913074526,0.5337895154110975,1689.6529577789304,0.03,671.2070185293306,0.0262,0.1778,0.1133,1.74,3722.0,76.163,0.0419,0.1039,98.0,62.13399999999999,0.04133257084017121,0.014672980725656209,18.024,0.0172,0.010668331980261469,8.776,3722.0,19.841,0.1935,51.431,0.9194509662069889,0.5032538037984771,586218.4477611941,0.0271737734971018,0.0122917700376614,0.04191042584153599,0.0,1.0
u33,9193.429,0.063,77,628.2555368131698,587.4280186816245,0.2213162997355299,0.21136371124507067,164.412,0.9186630071407212,0.0497,0.2034153275297422,0.025454107235685586,14.482,34.84,0.0286,19.648,0.0332,0.03980913035440534,0.5180798798639789,0.5365577423787814,1700.4663735272566,0.01,674.9517021112896,0.0445,0.1419,0.1191,1.08,2754.0,65.365,0.0213,0.0767,55.0,55.868,0.03918874390103592,0.014947075867634631,14.955,0.0202,0.010763812818458516,14.987,2754.0,29.177,0.1746,39.947,0.9215687619352684,0.4967889279052416,600368.4925373135,0.02667120772442546,0.012463419632501369,0.040935809755958674,0.0,0.0
u34,13402.75,0.0349,72,612.8087916526422,570.9619157773324,0.206185564879493,0.1994461827356429,169.0,0.9193201272549244,0.0382,0.19417053764636075,0.027548164352986258,15.268,34.45,0.0,11.632,0.0019,0.03972883496812474,0.5199723537750834,0.5302013244862545,1675.6396544019067,0.23,659.9673348272871,0.0,0.0131,0.0298,12.2,1876.0,68.655,0.0303,0.0425,223.0,52.54,0.03864006330908636,0.01180929494349594,20.445,0.0118,0.008617929406025177,19.714,1876.0,27.015,0.017,48.203,0.9231911289493208,0.5085448361303478,679348.8507462686,0.02683854518880564,0.009916313488456984,0.04132241344859363,0.0,0.0
u35,12160.7,0.0781,63,609.1990775725043,567.625782263515,0.207305244783564,0.1997641650404551,362.424,0.9186351663086584,0.0963,0.19388382754371672,0.026873401393302715,35.701,35.59,0.0,11.248,0.0072,0.040423948981433866,0.5196392417327311,0.5306765293725693,1669.7585823958286,0.05,655.3448323204648,0.0055,0.0384,0.0227,3.43,4155.0,64.086,0.0506,0.0611,185.0,72.592,0.03921660508867685,0.0122878256983451,12.651,0.0169,0.0088327094015013,24.666,4155.0,14.758,0.046,46.611,0.922719948466318,0.5071209931734558,697887.5522388059,0.026408954423336288,0.010246431649362557,0.04220360659969371,0.0,1.0
u36,45790.05,0.1156,86,614.1535837160089,571.9373158613273,0.2027535828408835,0.19683186424221952,2378.222,0.9194300362381108,0.1396,0.19229077559636998,0.02710460349137707,242.767,209.74,0.013,19.194000000000006,0.0122,0.039580907537865855,0.5249364365135334,0.5322002636873561,1686.3368679064315,0.06,663.6839861654049,0.0191,0.1036,0.1153,4.06,4710.0,59.523,0.0569,0.066,314.0,62.609,0.03871980589213727,0.01255963876495625,16.521,0.0275,0.009351696653593256,21.283,5108.0,20.87,0.2828,63.32,0.9230975373749334,0.5172762566982272,636767.2686567164,0.026337598811381292,0.010651338611044812,0.04090572150555575,398.0,1.0
u39,3650.4,0.0082,40,510.2164948453608,495.9926696794239,0.2191472055888154,0.22041029404528686,147.583,0.92117512814888,0.0097,0.22027967625475928,0.026453861583855643,37.681,53.62,0.0,5.121,0.0058,0.03755308944032703,0.5428148518341518,0.5548307582239419,1425.1104199066876,0.04,628.7673976947062,0.006,0.0,0.0055,3.1,1200.0,81.13600000000002,0.0039,0.0069,149.0,58.95,0.03575060014153173,0.012176161063318971,24.619,0.0,0.0087580920663986,13.742,1200.0,16.430999999999994,0.0,60.437,0.9264148748950016,0.5318290355534451,41365.611940298506,0.025479561643733658,0.010145356123173566,0.040194849203945324,0.0,0.0
u42,31540.6,0.0556,69,602.4385276122526,559.8379747196353,0.19175156366025373,0.1878129332831424,165.97299999999996,0.9203896506316582,0.0582,0.18484520953783165,0.026175934523971347,16.332,34.2,0.0,17.371,0.0222,0.03829106934950945,0.5422933998401093,0.5454677520279819,1668.3745796906524,0.15,657.7339475794282,0.0223,0.0091,0.0536,6.23,2782.0,48.934,0.0448,0.0733,176.0,43.332,0.038954810630057284,0.015728912553328506,27.194000000000006,0.0295,0.011713162186170255,33.695,2782.0,29.474,0.0686,103.091,0.9201883357554458,0.5404848964542741,451172.50746268657,0.029610036663844368,0.01330822074936627,0.03770550229104185,0.0,0.0
u43,9712.095,0.0501,69,602.4623699775648,560.9000712097364,0.1949883502322408,0.1912586828899571,160.04399999999995,0.9173585110894432,0.1107,0.1884385402702919,0.027011097292398683,11.692,40.75,0.0,19.863,0.0132,0.039062260590382,0.5395858252771445,0.5407523076596006,1673.0735203925174,0.18,656.5869313978791,0.0211,0.0832,0.0397,4.18,4159.0,62.497,0.0225,0.1032,143.0,61.525,0.03842803272676233,0.015331747738621806,11.65,0.0396,0.011134842381778441,17.639,4152.0,26.826,0.16399999999999998,20.589,0.9196300513579808,0.5404732587579206,440876.56716417905,0.029496589593572726,0.012816354466044328,0.04029864387953597,0.0,0.0
u44,11217.524,0.0857,54,597.2562723172338,548.9556405690789,0.1982360731238518,0.1918169628284357,346.281,0.961981390990254,0.1465,0.18691471221030267,0.010731545412276841,34.413000000000004,44.19,0.0127,9.759,0.0104,0.014930014560176591,0.5356454115550922,0.5444385820454138,1677.6164800716526,0.07,661.5808906897737,0.0524,0.0206,0.0419,4.62,3824.0,77.381,0.0231,0.0491,322.0,60.166,0.007750515077917245,0.002366130937415184,21.18,0.0354,0.0015197734991376807,12.86,3824.0,18.654,0.1523,65.508,0.9745750741054048,0.5258027726474457,379462.76119402976,0.006982086138054946,0.001972442723176997,0.02492093266005366,0.0,0.0
u45,24780.05,0.0767,72,614.1594350459483,566.9046763193184,0.19801138565117146,0.19143587108840865,183.424,0.9277466359087408,0.07,0.18644369829888136,0.027308459940961767,18.682,40.17,0.0,13.8,0.0113,0.028483487015849688,0.5353911417482903,0.5440353809679453,1699.8695652173913,0.39,676.4668267038992,0.0728,0.0098,0.0434,14.65,1868.0,68.796,0.0549,0.0373,435.0,58.38399999999999,0.0249999419071472,0.010916722827849338,18.272,0.0494,0.004968853046777903,17.404,1868.0,23.344,0.1023,60.877,0.9386320112464562,0.5256939027348935,351115.8656716418,0.02431460435718833,0.007333818339567326,0.034028181322448364,0.0,1.0
u46,17613.476000000002,0.0316,85,621.8039410015741,576.5265599890872,0.19274559186220386,0.1890871718294176,718.1139999999998,0.9325745295524436,0.0347,0.1863314313714717,0.02340412494611455,31.315,57.18,0.0184,25.351,0.037000000000000005,0.035665757944009745,0.5408716336893493,0.5439525009378852,1708.929981855054,0.02,679.2735596115504,0.0482,0.1444,0.0475,1.86,3685.0,56.183,0.0125,0.0243,82.0,52.882,0.03817360841504357,0.011355295444943672,13.068,0.0231,0.007345598876831531,18.466,3726.0,34.051,0.1505,41.434,0.9304178925719148,0.5391235623247705,318382.17910447763,0.02607115442624142,0.008941973513338019,0.03266605005649826,41.0,0.0
u47,7145.632,0.0447,68,616.1325266984776,571.3469945599599,0.19734836333454767,0.1906962398648995,331.821,0.9372282717458452,0.047,0.1856551994677024,0.022831356615628517,31.928,151.79,0.0,17.362000000000002,0.0046,0.027464651602588847,0.5392954427651212,0.5474662138249939,1703.6790292078174,0.04,674.6929029180402,0.0089,0.0309,0.0251,3.1,3203.0,73.525,0.0259,0.0271,70.0,59.143,0.024915114783904214,0.008169661351293645,13.54,0.0607,0.004015258976433016,9.113,3348.0,27.317,0.0683,29.553,0.9432310221649473,0.5302082220432173,323773.0447761194,0.024283371056156536,0.005647850584939708,0.03177071028723268,145.0,1.0
u49,22965.107000000004,0.0923,83,617.7851111603047,560.0435509754664,0.25722000750868546,0.2679575849693574,3839.792,0.9098996394448484,0.1161,0.27428428566692153,0.029122130050765107,156.593,55.65,0.0448,22.491,0.0323,0.042622829089873984,0.5119395311196673,0.5105963886074878,1701.021519134582,0.07,689.5964931999748,0.0799,0.0647,0.0284,6.1,3359.0,59.618,0.0431,0.0365,509.0,46.995,0.039192761635683186,0.013486447358364592,34.811,0.0974,0.008820178541998378,17.891,3402.0,18.194000000000006,0.1076,62.857,0.9195517427963495,0.5185570152404612,291566.9104477612,0.025655215062552496,0.01075090760420582,0.047491783146022086,49.0,1.0
u50,18210.25,0.078,51,602.0296353875676,552.6412493214992,0.2007023112952737,0.19435240729507927,902.4,0.9571916765881264,0.0694,0.18949763762785912,0.01886787819569476,118.218,36.85,0.0,28.38,0.0077,0.014692019291874641,0.532083868363613,0.5400696045348929,1686.1991533222895,0.03,667.8537892141446,0.0072,0.0034,0.0198,3.18,2739.0,49.43600000000001,0.0248,0.0273,184.0,66.046,0.009554711627608244,0.001684285504928759,16.482,0.035,0.001273381138307688,22.184,2743.0,17.472,0.0488,140.565,0.9714868033459212,0.5233819520090736,369906.77611940296,0.008348551819234877,0.001437029324268358,0.022256159711250185,4.0,1.0
