,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average audio_2 ratio,Bluetooth class,Daily average audio_2 ratio during night,Daily average activity_0 ratio during night,Daily average activity_3 ratio during night,Daily average audio_2 ratio during day,Phonelock duration during night,Total counts of bluetooth mac address,Medium strength of wifi level,Average accuracy,Phonecharge duration during evening,Daily average audio_0 ratio during day,Light duration during evening,Daily average audio_0 ratio,Phonecharge duration during afternoon,Daily average activity_1 ratio,Average speed,Average duration of each long-time conversation(>10 mins),Average duration of each conversation during night,Phonelock duration during evening,Average frequency of changing building,Wifi times of gps_network_type,Light duration during morning,Gps times of gps provider,Network times of gps provider,High strength of bluetooth level,Average bearing,FlourishingScale
u24,6052.75,0.0637,66.0,604.5837425078731,560.4006640375935,0.2083617147412124,244.276,0.2145997743258989,0.9163200583602574,0.026964397631278333,0.20324313490280813,0.0562,21.864,15.635,45.33,0.0248,0.5308010993910961,0.0103,0.5182456993802333,0.0388,0.04229474472785715,0.03,1675.7449459631275,656.488718626066,0.0241,216.3030303030303,2121.0,0.0567,26.0,2125.0,7.256,1.3,0.0
u27,4968.25,0.0563,56.0,622.6083366043662,578.8732406434376,0.208315237849106,353.545,0.21632600614099184,0.9172574887857124,0.02628917159358771,0.20181772724649708,0.0697,14.639,24.155,28.32,0.0008,0.5388220053417861,0.0096,0.5222941506510491,0.0678,0.03974266511237251,0.01,1697.1215731700588,673.49749229308,0.0283,430.4196428571428,4410.0,0.1238,32.0,4410.0,15.18,0.62,0.0
u30,44151.05,0.1146,74.0,615.365446549723,570.5879329917346,0.21274953789103834,1234.772,0.21953093974890486,0.9151996884827536,0.027639496547253287,0.20724432070476176,0.1561,48.24,20.145,45.7,0.005,0.5227938595737764,0.0176,0.5104170203330971,0.1834,0.04235213277969064,0.06,1683.2976254884281,667.4253488034416,0.0528,929.8648648648648,3795.0,0.0862,52.0,3795.0,9.816,1.66,1.0
u31,14463.174,0.0506,56.0,593.5345483418272,553.4049989135897,0.20390773970096607,330.6,0.21132650501136704,0.9181682499147142,0.02716088147948711,0.19799963013876776,0.0602,34.54,17.14,79.11,0.0367,0.5325301956536121,0.0727,0.5196872344838838,0.0561,0.04094991378500969,0.31,1656.9640495286335,645.5905381521168,0.0606,297.0267857142857,3896.0,0.0745,254.0,3949.0,16.023,5.87,0.0
u32,28294.55,0.121,79.0,622.2139915087764,580.0764511536104,0.2089713074887333,1038.976,0.21610545728505204,0.9170701536014564,0.026346439831351275,0.20320219086721653,0.1625,51.75899999999999,15.061,36.4,0.0007,0.5337895154110975,0.0073,0.5193749913074526,0.1778,0.04146034579434134,0.03,1689.6529577789304,671.2070185293306,0.0262,1107.9430379746836,3722.0,0.1133,98.0,3722.0,18.024,1.74,1.0
u33,9193.429,0.063,77.0,628.2555368131698,587.4280186816245,0.21136371124507067,164.412,0.2213162997355299,0.9186630071407212,0.025454107235685586,0.2034153275297422,0.0497,14.482,19.648,34.84,0.0286,0.5365577423787814,0.0332,0.5180798798639789,0.1419,0.03980913035440534,0.01,1700.4663735272566,674.9517021112896,0.0445,370.5779220779222,2754.0,0.1191,55.0,2754.0,14.955,1.08,0.0
u34,13402.75,0.0349,72.0,612.8087916526422,570.9619157773324,0.1994461827356429,169.0,0.206185564879493,0.9193201272549244,0.027548164352986258,0.19417053764636075,0.0382,15.268,11.632,34.45,0.0,0.5302013244862545,0.0019,0.5199723537750834,0.0131,0.03972883496812474,0.23,1675.6396544019067,659.9673348272871,0.0,116.11805555555556,1876.0,0.0298,223.0,1876.0,20.445,12.2,0.0
u35,12160.7,0.0781,63.0,609.1990775725043,567.625782263515,0.1997641650404551,362.424,0.207305244783564,0.9186351663086584,0.026873401393302715,0.19388382754371672,0.0963,35.701,11.248,35.59,0.0,0.5306765293725693,0.0072,0.5196392417327311,0.0384,0.040423948981433866,0.05,1669.7585823958286,655.3448323204648,0.0055,218.26190476190484,4155.0,0.0227,185.0,4155.0,12.651,3.43,1.0
u36,45790.05,0.1156,86.0,614.1535837160089,571.9373158613273,0.19683186424221952,2378.222,0.2027535828408835,0.9194300362381108,0.02710460349137707,0.19229077559636998,0.1396,242.767,19.194000000000006,209.74,0.013,0.5322002636873561,0.0122,0.5249364365135334,0.1036,0.039580907537865855,0.06,1686.3368679064315,663.6839861654049,0.0191,546.1976744186046,4710.0,0.1153,314.0,5108.0,16.521,4.06,1.0
u39,3650.4,0.0082,40.0,510.2164948453608,495.9926696794239,0.22041029404528686,147.583,0.2191472055888154,0.92117512814888,0.026453861583855643,0.22027967625475928,0.0097,37.681,5.121,53.62,0.0,0.5548307582239419,0.0058,0.5428148518341518,0.0,0.03755308944032703,0.04,1425.1104199066876,628.7673976947062,0.006,89.25,1200.0,0.0055,149.0,1200.0,24.619,3.1,0.0
u42,31540.6,0.0556,69.0,602.4385276122526,559.8379747196353,0.1878129332831424,165.97299999999996,0.19175156366025373,0.9203896506316582,0.026175934523971347,0.18484520953783165,0.0582,16.332,17.371,34.2,0.0,0.5454677520279819,0.0222,0.5422933998401093,0.0091,0.03829106934950945,0.15,1668.3745796906524,657.7339475794282,0.0223,222.3260869565217,2782.0,0.0536,176.0,2782.0,27.194000000000006,6.23,0.0
u43,9712.095,0.0501,69.0,602.4623699775648,560.9000712097364,0.1912586828899571,160.04399999999995,0.1949883502322408,0.9173585110894432,0.027011097292398683,0.1884385402702919,0.1107,11.692,19.863,40.75,0.0,0.5407523076596006,0.0132,0.5395858252771445,0.0832,0.039062260590382,0.18,1673.0735203925174,656.5869313978791,0.0211,190.88405797101453,4159.0,0.0397,143.0,4152.0,11.65,4.18,0.0
u44,11217.524,0.0857,54.0,597.2562723172338,548.9556405690789,0.1918169628284357,346.281,0.1982360731238518,0.961981390990254,0.010731545412276841,0.18691471221030267,0.1465,34.413000000000004,9.759,44.19,0.0127,0.5444385820454138,0.0104,0.5356454115550922,0.0206,0.014930014560176591,0.07,1677.6164800716526,661.5808906897737,0.0524,201.26851851851848,3824.0,0.0419,322.0,3824.0,21.18,4.62,0.0
u45,24780.05,0.0767,72.0,614.1594350459483,566.9046763193184,0.19143587108840865,183.424,0.19801138565117146,0.9277466359087408,0.027308459940961767,0.18644369829888136,0.07,18.682,13.8,40.17,0.0,0.5440353809679453,0.0113,0.5353911417482903,0.0098,0.028483487015849688,0.39,1699.8695652173913,676.4668267038992,0.0728,288.3888888888889,1868.0,0.0434,435.0,1868.0,18.272,14.65,1.0
u46,17613.476000000002,0.0316,85.0,621.8039410015741,576.5265599890872,0.1890871718294176,718.1139999999998,0.19274559186220386,0.9325745295524436,0.02340412494611455,0.1863314313714717,0.0347,31.315,25.351,57.18,0.0184,0.5439525009378852,0.037000000000000005,0.5408716336893493,0.1444,0.035665757944009745,0.02,1708.929981855054,679.2735596115504,0.0482,542.0529411764705,3685.0,0.0475,82.0,3726.0,13.068,1.86,0.0
u47,7145.632,0.0447,68.0,616.1325266984776,571.3469945599599,0.1906962398648995,331.821,0.19734836333454767,0.9372282717458452,0.022831356615628517,0.1856551994677024,0.047,31.928,17.362000000000002,151.79,0.0,0.5474662138249939,0.0046,0.5392954427651212,0.0309,0.027464651602588847,0.04,1703.6790292078174,674.6929029180402,0.0089,114.44852941176471,3203.0,0.0251,70.0,3348.0,13.54,3.1,1.0
u49,22965.107000000004,0.0923,83.0,617.7851111603047,560.0435509754664,0.2679575849693574,3839.792,0.25722000750868546,0.9098996394448484,0.029122130050765107,0.27428428566692153,0.1161,156.593,22.491,55.65,0.0448,0.5105963886074878,0.0323,0.5119395311196673,0.0647,0.042622829089873984,0.07,1701.021519134582,689.5964931999748,0.0799,976.5843373493976,3359.0,0.0284,509.0,3402.0,34.811,6.1,1.0
u50,18210.25,0.078,51.0,602.0296353875676,552.6412493214992,0.19435240729507927,902.4,0.2007023112952737,0.9571916765881264,0.01886787819569476,0.18949763762785912,0.0694,118.218,28.38,36.85,0.0,0.5400696045348929,0.0077,0.532083868363613,0.0034,0.014692019291874641,0.03,1686.1991533222895,667.8537892141446,0.0072,571.3039215686274,2739.0,0.0198,184.0,2743.0,16.482,3.18,1.0
u51,18445.087,0.1535,79.0,606.3989562624254,558.5636167709183,0.19066663449628,758.449,0.19744092734209626,0.9284596709186692,0.022586527124604846,0.18554095358793413,0.2268,89.76799999999999,22.94,178.83,0.0012,0.5464560887672065,0.0103,0.5378633880293838,0.2014,0.029776587586254705,0.06,1690.9815039701075,670.1115157025804,0.0288,329.11392405063293,5882.0,0.128,148.0,6218.0,23.574,2.68,0.0
u52,151418.545,0.1443,51.0,614.0166054507855,558.4586922488371,0.18690018258855426,491.721,0.19302366248858369,0.919223517024418,0.026162833104304364,0.18234378567809947,0.1095,26.596,16.025,69.56,0.0045,0.5505441899119313,0.0137,0.5443778251561283,0.0905,0.03999428654600736,0.02,1698.6305565078278,682.6613330100413,0.0607,7316.088235294117,4391.0,0.1482,542.0,4481.0,6.853,7.89,0.0
u53,35303.8,0.118,75.0,613.5359967606964,566.4838972411561,0.18870300604171444,302.949,0.19490826777356146,0.936744566550986,0.023403309944224952,0.1839865952197646,0.1662,37.627,21.951,27.48,0.004,0.5483748722808004,0.0126,0.5408159915707493,0.0673,0.02665201892513304,0.09,1705.1948692152914,674.7560525233002,0.0428,526.7266666666667,3653.0,0.0786,272.0,3653.0,5.933,3.23,1.0
u56,13101.2,0.0724,70.0,599.9809693610589,561.2095225122284,0.18840685819405129,132.94299999999998,0.19171373378736772,0.9193588326447644,0.02586802338075716,0.1858946681014285,0.1188,15.667,15.547,165.34,0.0154,0.5453346602887333,0.0201,0.5430753689305754,0.0735,0.03975450635606319,0.09,1665.8413057766745,650.3652063604159,0.0231,147.36428571428573,3313.0,0.0722,100.0,3511.0,2.772,1.73,1.0
u57,28505.286,0.0513,80.0,602.4492272563903,560.104636159012,0.19134104598335874,1370.696,0.19412976759720613,0.9123123622165318,0.02858914707643047,0.1891849753074437,0.0879,81.992,18.518,71.35,0.0105,0.5398414133549327,0.0148,0.5392606664163683,0.2077,0.04127201653524349,0.13,1680.2315302377535,658.3369127072043,0.0517,1337.59375,4749.0,0.0922,989.0,4867.0,3.037,11.0,1.0
u58,19030.5,0.1438,68.0,659.1099559403262,605.5320161540885,0.3002349922856966,95.289,0.2863610701713312,0.9092925939198521,0.02952967820312889,0.30868349258807665,0.1552,12.393,22.077,55.26,0.0136,0.4698224308753505,0.0269,0.4822238293451746,0.1618,0.04266220832444628,0.11,1704.1845347313238,724.7272955356121,0.0325,445.7132352941177,5710.0,0.0928,275.0,5748.0,7.183,3.3,1.0
u59,27778.15,0.0321,75.0,622.8987616409094,563.8190023042196,0.3669138852799485,205.867,0.3521733227698248,0.9086250916229996,0.029703361052309318,0.3825453819731284,0.0565,13.994000000000002,17.125,158.19,0.0208,0.4473922658944859,0.0273,0.455781330994094,0.1711,0.0429043464171246,0.04,1701.914733390016,694.5068983952748,0.0252,1139.8666666666666,5436.0,0.0408,127.0,5713.0,1.403,3.02,1.0
