,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Phonecharge duration during night,Phonelock duration during afternoon,Phonelock duration during night,Phonelock duration during evening,High strength of wifi level,Average duration of each conversation during night,Total counts of wifi-bssid address,Medium strength of wifi level,Light duration during evening,Daily average audio_0 ratio during night,Phonecharge duration during afternoon,Average duration of each conversation,Light duration during night,Light duration during afternoon,Low strength of bluetooth level,Frequency of wifi,Phonecharge duration during evening,Phonelock duration during morning,Daily average audio_1 ratio during day,Average duration of each long-time conversation(>10 mins),Daily average audio_0 ratio during day,The frequency of changing building,Bluetooth class,Daily average audio_0 ratio,Low strength of wifi level,Total counts of bluetooth mac address,Daily average audio_2 ratio during night,Average accuracy,Negative
u31,22.479,0.0495,254.0,0.31,5.87,0.0445,0.1089,0.0602,0.0606,26.107,645.5905381521168,43.822,17.14,0.0727,0.505361846630786,0.0561,593.5345483418272,0.0701,0.1268,61.499,14463.174,0.0367,0.0506,0.2694701742076201,1656.9640495286335,0.5325301956536121,56.0,330.6,0.5196872344838838,56.753,34.54,0.21132650501136704,79.11,1.0
u32,19.841,0.0172,98.0,0.03,1.74,0.0419,0.1935,0.1625,0.0262,8.776,671.2070185293306,51.431,15.061,0.0073,0.5032538037984771,0.1778,622.2139915087764,0.1039,0.1577,62.13399999999999,28294.55,0.0007,0.121,0.2630082937216857,1689.6529577789304,0.5337895154110975,79.0,1038.976,0.5193749913074526,76.163,51.75899999999999,0.21610545728505204,36.4,0.0
u33,29.177,0.0202,55.0,0.01,1.08,0.0213,0.1746,0.0497,0.0445,14.987,674.9517021112896,39.947,19.648,0.0332,0.4967889279052416,0.1419,628.2555368131698,0.0767,0.1641,55.868,9193.429,0.0286,0.063,0.2600269300914764,1700.4663735272566,0.5365577423787814,77.0,164.412,0.5180798798639789,65.365,14.482,0.2213162997355299,34.84,1.0
u34,27.015,0.0118,223.0,0.23,12.2,0.0303,0.017,0.0382,0.0,19.714,659.9673348272871,48.203,11.632,0.0019,0.5085448361303478,0.0131,612.8087916526422,0.0425,0.0246,52.54,13402.75,0.0,0.0349,0.2756281378673849,1675.6396544019067,0.5302013244862545,72.0,169.0,0.5199723537750834,68.655,15.268,0.206185564879493,34.45,0.0
u35,14.758,0.0169,185.0,0.05,3.43,0.0506,0.046,0.0963,0.0055,24.666,655.3448323204648,46.611,11.248,0.0072,0.5071209931734558,0.0384,609.1990775725043,0.0611,0.0112,72.592,12160.7,0.0,0.0781,0.2754396430837141,1669.7585823958286,0.5306765293725693,63.0,362.424,0.5196392417327311,64.086,35.701,0.207305244783564,35.59,0.0
u36,20.87,0.0275,314.0,0.06,4.06,0.0569,0.2828,0.1396,0.0191,21.283,663.6839861654049,63.32,19.194000000000006,0.0122,0.5172762566982272,0.1036,614.1535837160089,0.066,0.2693,62.609,45790.05,0.013,0.1156,0.27550896071627395,1686.3368679064315,0.5322002636873561,86.0,2378.222,0.5249364365135334,59.523,242.767,0.2027535828408835,209.74,0.0
u39,16.430999999999994,0.0,149.0,0.04,3.1,0.0039,0.0,0.0097,0.006,13.742,628.7673976947062,60.437,5.121,0.0058,0.5318290355534451,0.0,510.2164948453608,0.0069,0.0059,58.95,3650.4,0.0,0.0082,0.22488956552129885,1425.1104199066876,0.5548307582239419,40.0,147.583,0.5428148518341518,81.13600000000002,37.681,0.2191472055888154,53.62,0.0
u42,29.474,0.0295,176.0,0.15,6.23,0.0448,0.0686,0.0582,0.0223,33.695,657.7339475794282,103.091,17.371,0.0222,0.5404848964542741,0.0091,602.4385276122526,0.0733,0.0918,43.332,31540.6,0.0,0.0556,0.26968703843418634,1668.3745796906524,0.5454677520279819,69.0,165.97299999999996,0.5422933998401093,48.934,16.332,0.19175156366025373,34.2,1.0
u43,26.826,0.0396,143.0,0.18,4.18,0.0225,0.16399999999999998,0.1107,0.0211,17.639,656.5869313978791,20.589,19.863,0.0132,0.5404732587579206,0.0832,602.4623699775648,0.1032,0.1391,61.525,9712.095,0.0,0.0501,0.2708091520701074,1673.0735203925174,0.5407523076596006,69.0,160.04399999999995,0.5395858252771445,62.497,11.692,0.1949883502322408,40.75,0.0
u44,18.654,0.0354,322.0,0.07,4.62,0.0231,0.1523,0.1465,0.0524,12.86,661.5808906897737,65.508,9.759,0.0104,0.5258027726474457,0.0206,597.2562723172338,0.0491,0.0741,60.166,11217.524,0.0127,0.0857,0.2686467057442836,1677.6164800716526,0.5444385820454138,54.0,346.281,0.5356454115550922,77.381,34.413000000000004,0.1982360731238518,44.19,0.0
u45,23.344,0.0494,435.0,0.39,14.65,0.0549,0.1023,0.07,0.0728,17.404,676.4668267038992,60.877,13.8,0.0113,0.5256939027348935,0.0098,614.1594350459483,0.0373,0.0813,58.38399999999999,24780.05,0.0,0.0767,0.2695209207331733,1699.8695652173913,0.5440353809679453,72.0,183.424,0.5353911417482903,68.796,18.682,0.19801138565117146,40.17,1.0
u46,34.051,0.0231,82.0,0.02,1.86,0.0125,0.1505,0.0347,0.0482,18.466,679.2735596115504,41.434,25.351,0.037000000000000005,0.5391235623247705,0.1444,621.8039410015741,0.0243,0.1761,52.882,17613.476000000002,0.0184,0.0316,0.2697160676906432,1708.929981855054,0.5439525009378852,85.0,718.1139999999998,0.5408716336893493,56.183,31.315,0.19274559186220386,57.18,1.0
u47,27.317,0.0607,70.0,0.04,3.1,0.0259,0.0683,0.047,0.0089,9.113,674.6929029180402,29.553,17.362000000000002,0.0046,0.5302082220432173,0.0309,616.1325266984776,0.0271,0.0466,59.143,7145.632,0.0,0.0447,0.26687858670730363,1703.6790292078174,0.5474662138249939,68.0,331.821,0.5392954427651212,73.525,31.928,0.19734836333454767,151.79,1.0
u49,18.194000000000006,0.0974,509.0,0.07,6.1,0.0431,0.1076,0.1161,0.0799,17.891,689.5964931999748,62.857,22.491,0.0323,0.5185570152404612,0.0647,617.7851111603047,0.0365,0.0209,46.995,22965.107000000004,0.0448,0.0923,0.21511932572559075,1701.021519134582,0.5105963886074878,83.0,3839.792,0.5119395311196673,59.618,156.593,0.25722000750868546,55.65,0.0
u50,17.472,0.035,184.0,0.03,3.18,0.0248,0.0488,0.0694,0.0072,22.184,667.8537892141446,140.565,28.38,0.0077,0.5233819520090736,0.0034,602.0296353875676,0.0273,0.0904,66.046,18210.25,0.0,0.078,0.270432757837248,1686.1991533222895,0.5400696045348929,51.0,902.4,0.532083868363613,49.43600000000001,118.218,0.2007023112952737,36.85,0.0
u51,24.012,0.004,148.0,0.06,2.68,0.021,0.2616,0.2268,0.0288,23.597,670.1115157025804,59.168,22.94,0.0103,0.5282090807344005,0.2014,606.3989562624254,0.1243,0.1292,52.414,18445.087,0.0012,0.1535,0.2680029576448595,1690.9815039701075,0.5464560887672065,79.0,758.449,0.5378633880293838,53.462,89.76799999999999,0.19744092734209626,178.83,0.0
u52,12.254,0.0299,542.0,0.02,7.89,0.0316,0.1951,0.1095,0.0607,12.37,682.6613330100413,889.2710000000002,16.025,0.0137,0.5383303652836485,0.0905,614.0166054507855,0.0624,0.1538,80.893,151418.545,0.0045,0.1443,0.2671120244099691,1698.6305565078278,0.5505441899119313,51.0,491.721,0.5443778251561283,71.605,26.596,0.19302366248858369,69.56,1.0
u53,19.272,0.0246,272.0,0.09,3.23,0.0274,0.1754,0.1662,0.0428,15.285,674.7560525233002,149.719,21.951,0.0126,0.5326698065551801,0.0673,613.5359967606964,0.1121,0.0859,74.795,35303.8,0.004,0.118,0.2676385324994349,1705.1948692152914,0.5483748722808004,75.0,302.949,0.5408159915707493,62.764,37.627,0.19490826777356146,27.48,0.0
u56,25.317,0.0044,100.0,0.09,1.73,0.019,0.0997,0.1188,0.0231,16.445999999999998,650.3652063604159,42.058,15.547,0.0201,0.5425089136040231,0.0735,599.9809693610589,0.0993,0.0471,71.911,13101.2,0.0154,0.0724,0.26877067160983803,1665.8413057766745,0.5453346602887333,70.0,132.94299999999998,0.5430753689305754,68.007,15.667,0.19171373378736772,165.34,0.0
u57,10.691,0.0459,989.0,0.13,11.0,0.0268,0.2473,0.0879,0.0517,12.678,658.3369127072043,139.805,18.518,0.0148,0.5410039053376159,0.2077,602.4492272563903,0.0869,0.2501,86.272,28505.286,0.0105,0.0513,0.2709736113376236,1680.2315302377535,0.5398414133549327,80.0,1370.696,0.5392606664163683,68.805,81.992,0.19412976759720613,71.35,0.0
u58,23.834,0.0156,275.0,0.11,3.3,0.0194,0.2216,0.1552,0.0325,22.035,724.7272955356121,58.736,22.077,0.0269,0.5049915310264073,0.1618,659.1099559403262,0.1316,0.1114,68.983,19030.5,0.0136,0.1438,0.22149407653657288,1704.1845347313238,0.4698224308753505,68.0,95.289,0.4822238293451746,55.887,12.393,0.2863610701713312,55.26,0.0
u59,0.6579999999999999,0.0831,127.0,0.04,3.02,0.0299,0.1485,0.0565,0.0252,13.905,694.5068983952748,84.677,17.125,0.0273,0.4651484372164825,0.1711,622.8987616409094,0.0681,0.1677,97.938,27778.15,0.0208,0.0321,0.17006235213238574,1701.914733390016,0.4473922658944859,75.0,205.867,0.455781330994094,68.97,13.994000000000002,0.3521733227698248,158.19,1.0
