,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Phonecharge duration during night,Phonelock duration during afternoon,Phonelock duration during night,Phonelock duration during evening,High strength of wifi level,Average duration of each conversation during night,Total counts of wifi-bssid address,Medium strength of wifi level,Light duration during evening,Negative
u19,24.902,0.0649,147.0,0.06,4.03,0.0591,0.2831,0.1085,0.0466,14.632,652.4699348970134,67.311,20.29,0.0196,0.0
u20,10.919,0.034,273.0,0.02,2.4,0.0186,0.0805,0.0766,0.0137,16.362000000000002,657.9642451539928,60.832,25.238000000000003,0.006,0.0
u22,21.738000000000003,0.0379,202.0,0.03,2.04,0.0478,0.1992,0.1226,0.006999999999999999,22.529,662.0021465625098,73.34899999999998,27.161,0.0175,0.0
u23,14.017,0.027000000000000003,812.0,0.13,16.18,0.1492,0.0526,0.07200000000000001,0.0513,20.429,669.5279893005768,46.471,23.578000000000007,0.0659,1.0
u24,20.059,0.0281,26.0,0.03,1.3,0.006,0.0975,0.0562,0.0241,18.787,656.488718626066,29.404,15.635,0.0103,0.0
u27,22.079,0.0546,32.0,0.01,0.62,0.0412,0.1259,0.0697,0.0283,9.76,673.49749229308,30.285,24.155,0.0096,1.0
u30,23.029,0.0186,52.0,0.06,1.66,0.0083,0.2236,0.1561,0.0528,10.813,667.4253488034416,32.454,20.145,0.0176,1.0
u31,22.479,0.0495,254.0,0.31,5.87,0.0445,0.1089,0.0602,0.0606,26.107,645.5905381521168,43.822,17.14,0.0727,1.0
u32,19.841,0.0172,98.0,0.03,1.74,0.0419,0.1935,0.1625,0.0262,8.776,671.2070185293306,51.431,15.061,0.0073,0.0
u33,29.177,0.0202,55.0,0.01,1.08,0.0213,0.1746,0.0497,0.0445,14.987,674.9517021112896,39.947,19.648,0.0332,1.0
u34,27.015,0.0118,223.0,0.23,12.2,0.0303,0.017,0.0382,0.0,19.714,659.9673348272871,48.203,11.632,0.0019,0.0
u35,14.758,0.0169,185.0,0.05,3.43,0.0506,0.046,0.0963,0.0055,24.666,655.3448323204648,46.611,11.248,0.0072,0.0
u36,20.87,0.0275,314.0,0.06,4.06,0.0569,0.2828,0.1396,0.0191,21.283,663.6839861654049,63.32,19.194000000000006,0.0122,0.0
u39,16.430999999999994,0.0,149.0,0.04,3.1,0.0039,0.0,0.0097,0.006,13.742,628.7673976947062,60.437,5.121,0.0058,0.0
u42,29.474,0.0295,176.0,0.15,6.23,0.0448,0.0686,0.0582,0.0223,33.695,657.7339475794282,103.091,17.371,0.0222,1.0
u43,26.826,0.0396,143.0,0.18,4.18,0.0225,0.16399999999999998,0.1107,0.0211,17.639,656.5869313978791,20.589,19.863,0.0132,0.0
u44,18.654,0.0354,322.0,0.07,4.62,0.0231,0.1523,0.1465,0.0524,12.86,661.5808906897737,65.508,9.759,0.0104,0.0
u45,23.344,0.0494,435.0,0.39,14.65,0.0549,0.1023,0.07,0.0728,17.404,676.4668267038992,60.877,13.8,0.0113,1.0
u46,34.051,0.0231,82.0,0.02,1.86,0.0125,0.1505,0.0347,0.0482,18.466,679.2735596115504,41.434,25.351,0.037000000000000005,1.0
u47,27.317,0.0607,70.0,0.04,3.1,0.0259,0.0683,0.047,0.0089,9.113,674.6929029180402,29.553,17.362000000000002,0.0046,1.0
u49,18.194000000000006,0.0974,509.0,0.07,6.1,0.0431,0.1076,0.1161,0.0799,17.891,689.5964931999748,62.857,22.491,0.0323,0.0
u50,17.472,0.035,184.0,0.03,3.18,0.0248,0.0488,0.0694,0.0072,22.184,667.8537892141446,140.565,28.38,0.0077,0.0
u51,24.012,0.004,148.0,0.06,2.68,0.021,0.2616,0.2268,0.0288,23.597,670.1115157025804,59.168,22.94,0.0103,0.0
u52,12.254,0.0299,542.0,0.02,7.89,0.0316,0.1951,0.1095,0.0607,12.37,682.6613330100413,889.2710000000002,16.025,0.0137,1.0
u53,19.272,0.0246,272.0,0.09,3.23,0.0274,0.1754,0.1662,0.0428,15.285,674.7560525233002,149.719,21.951,0.0126,0.0
u56,25.317,0.0044,100.0,0.09,1.73,0.019,0.0997,0.1188,0.0231,16.445999999999998,650.3652063604159,42.058,15.547,0.0201,0.0
u57,10.691,0.0459,989.0,0.13,11.0,0.0268,0.2473,0.0879,0.0517,12.678,658.3369127072043,139.805,18.518,0.0148,0.0
u58,23.834,0.0156,275.0,0.11,3.3,0.0194,0.2216,0.1552,0.0325,22.035,724.7272955356121,58.736,22.077,0.0269,0.0
u59,0.6579999999999999,0.0831,127.0,0.04,3.02,0.0299,0.1485,0.0565,0.0252,13.905,694.5068983952748,84.677,17.125,0.0273,1.0
